##DEPset=2057,background_set=13434
p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.39673435486e-32	4.09243165974e-30	Pathways in cancer - Homo sapiens (human)	KEGG	path:hsa05200	PTGS2; PMAIP1; IL6ST; IKBKB; AKT1; AKT2; AKT3; MDM2; RARB; CALM2; PTGER4; PIK3CA; IL12RB2; PIK3CD; EML4; GLI1; FADD; CDH1; JAK2; MYC; CUL1; CUL2; ERBB2; IGF1R; CDKN2A; CAMK2D; SP1; FASLG; RET; KITLG; SMAD3; FGFR2; KRAS; CCND1; CXCL8; CCND2; TCF7L1; TCF7L2; GSK3B; PTEN; GNG5; APC; RASGRP3; IL13; EDN1; RASSF1; ITGA2; NFKBIA; RASSF5; HIF1A; CRK; KEAP1; CCNE2; CCNE1; JUN; PIK3R3; PIK3R2; PIK3R1; JAK1; IFNG; PRKACA; FOS; CHUK; PPARG; PPARD; VEGFA; COL4A1; FGF7; LAMC1; FZD5; EGLN3; TP53; RPS6KA5; ESR1; FRAT1; HES1; WNT5A; RALA; WNT3A; PDGFRB; HDAC2; SMAD4; MAP2K1; RAC1; LAMC2; XIAP; ELOC; NCOA3; STAT3; STAT2; FZD6; FZD9; RPS6KB1; NFKB1; MAPK8; MAPK9; TGFBR2; TGFBR1; GNB5; CKS2; APPL1; MTOR; ITGA6; ESR2; EP300; NFKB2; SOS2; WNT1; GNAS; PLCG1; IL6; MET; CDK4; CDK6; PRKACB; HSP90AA1; CDC42; TGFB1; TGFB2; PTK2; MSH2; MSH3; EGFR; BAX; CTNNB1; VHL; FOXO1; RUNX1T1; ROCK2; CEBPA; CCNA2; AXIN2; FAS; BID; RB1; DVL2; GLI3; SMAD2; ETS1; CXCR4; JAG1; DAPK1; GNA13; ITGB1; TRAF4; PIM1; STAT6; HGF; BCL2L11; HDAC1; CASP7; E2F3; CASP3; E2F1; NOTCH1; NOTCH2; CASP9; GSTP1; BRAF; MMP9; MMP2; BCL2	8202; 2064; 2099; 2100; 6198; 2113; 356; 4193; 8313; 8323; 8326; 4233; 4254; 182; 1398; 2252; 208; 2263; 4313; 4318; 2308; 8453; 8454; 2353; 8503; 324; 331; 4436; 4437; 355; 2475; 10672; 10681; 6655; 4609; 6667; 8772; 581; 595; 596; 6773; 6774; 6778; 637; 673; 2735; 2737; 4790; 4791; 4792; 2778; 2787; 4851; 4853; 6921; 6934; 1499; 805; 27436; 817; 5599; 836; 840; 842; 862; 2932; 890; 894; 898; 7046; 7048; 83439; 9134; 11186; 998; 999; 7157; 3066; 1019; 1021; 1029; 3082; 1050; 5159; 1147; 1164; 5290; 5292; 5293; 5295; 5296; 25780; 3280; 5335; 207; 5366; 3320; 7422; 7040; 1282; 9475; 7042; 3091; 2950; 7471; 7474; 5467; 5468; 9252; 3458; 9618; 3480; 5566; 5567; 26060; 3551; 5601; 5604; 3569; 3572; 3576; 3595; 3596; 9817; 7428; 3655; 1612; 3673; 5728; 5734; 3688; 5743; 5747; 3716; 3717; 83593; 3725; 7852; 7855; 89780; 5879; 3845; 5898; 112399; 10000; 5915; 10018; 5925; 10023; 1856; 3915; 1869; 3918; 1871; 5979; 1906; 1956; 4087; 3065; 2033; 4088; 4089	531	531
4.08503459961e-23	5.98457568842e-21	Cellular senescence - Homo sapiens (human)	KEGG	path:hsa04218	NFATC1; TGFB2; CCND2; PPP3R1; TGFB1; RRAS2; RASSF5; TGFBR1; MAP2K1; SMAD3; HIPK3; AKT1; AKT2; AKT3; FOXM1; IL1A; VDAC2; VDAC1; GATA4; IL6; CALM2; TP53; CDK1; CCNE2; PIK3CA; CCNE1; PIK3CD; RB1; SERPINE1; SMAD2; ETS1; PIK3R3; PIK3R2; PIK3R1; NFKB1; MYC; CHEK2; CHEK1; TGFBR2; SIRT1; CDKN2A; RBL2; CDC25A; ZFP36L1; ZFP36L2; MTOR; SLC25A5; CCNA2; MDM2; ITPR1; KRAS; CCNB2; CCNB1; E2F3; E2F1; HIPK2; CCND1; CXCL8; PPP1CA; FOXO1; ATM; E2F5; PTEN; CDK4; CDK6; LIN54; LIN52	4609; 1029; 2305; 3845; 132660; 2113; 2626; 595; 1111; 5728; 4193; 91750; 3708; 83593; 4772; 677; 678; 5290; 5293; 5295; 5296; 4790; 207; 208; 292; 805; 891; 7416; 7417; 2308; 10114; 22800; 10000; 5925; 5934; 8503; 3552; 28996; 1869; 1871; 1875; 898; 23411; 890; 5499; 894; 7040; 7042; 7046; 7048; 2475; 9133; 9134; 5534; 5054; 11200; 3576; 983; 472; 993; 5604; 1021; 3569; 7157; 4087; 4088; 1019	156	156
4.31078529242e-22	3.18254633502e-20	Colorectal cancer - Homo sapiens (human)	KEGG	path:hsa05210	TGFB1; TGFB2; PMAIP1; SMAD4; RPS6KB1; MSH2; MSH3; EGFR; BAX; TCF7L1; CTNNB1; AKT1; AKT2; AKT3; SOS2; GSK3B; BCL2L11; AXIN2; PIK3CA; FOS; JUN; PIK3CD; PIK3R3; PIK3R2; PIK3R1; MYC; MAPK9; BRAF; TGFBR2; TGFBR1; RAC1; APPL1; MTOR; SMAD2; SMAD3; MAPK8; KRAS; TP53; CASP3; CCND1; MAP2K1; TCF7L2; CASP9; EREG; APC; RALA; BCL2	4609; 2069; 6198; 581; 595; 596; 8313; 3725; 673; 5290; 5293; 5295; 5296; 207; 208; 5366; 5879; 3845; 5898; 10000; 6934; 10018; 1499; 2353; 8503; 836; 842; 4436; 4437; 2932; 7040; 7042; 7046; 7048; 324; 1956; 2475; 26060; 5599; 5601; 5604; 83439; 7157; 4087; 4088; 4089; 6655	86	86
5.2835719319e-22	3.18254633502e-20	Hepatitis B - Homo sapiens (human)	KEGG	path:hsa05161	NFATC1; IFIH1; YWHAQ; TGFB1; SMAD4; PIK3CD; NFKBIA; CASP3; BAX; PIK3R3; IKBKB; AKT1; AKT2; AKT3; MAP2K4; TLR2; YWHAZ; STAT6; STAT3; STAT2; TLR3; EGR2; PIK3CA; BID; MAP3K1; JUN; RB1; JAK2; PIK3R2; PIK3R1; JAK1; NFKB1; MYC; DDB1; TGFBR2; TGFBR1; DDX3X; FOS; CREB5; FADD; CHUK; CREB1; SMAD3; TNF; FASLG; TP53; CCNA2; EP300; MAPK8; TGFB2; KRAS; MAPK9; E2F3; CCNE1; E2F1; TAB2; MAP2K1; CASP9; IL6; CCNE2; FAS; BRAF; MMP9; ATF2; CXCL8; SOS2; BCL2	4609; 1654; 8772; 581; 23118; 596; 10000; 1642; 6773; 6774; 6778; 1147; 637; 1385; 3716; 3717; 64135; 3725; 673; 4772; 5290; 5293; 5295; 5296; 3569; 4790; 4792; 4214; 207; 208; 10971; 4318; 3845; 898; 6416; 5925; 2353; 8503; 5599; 836; 842; 1869; 1871; 355; 356; 1386; 7534; 9586; 890; 7040; 7042; 7046; 7048; 1959; 9134; 7097; 7098; 3576; 7124; 4089; 3551; 5601; 5604; 2033; 7157; 4088; 6655	162	162
5.43096644201e-22	3.18254633502e-20	Proteoglycans in cancer - Homo sapiens (human)	KEGG	path:hsa05205	WNT3A; ITGB1; TGFB2; PTK2; TIMP3; ACTG1; MAP2K1; TGFB1; PIK3CD; ITGA2; RRAS2; EGFR; ITGA5; HIF1A; FRS2; CTNNB1; AKT1; AKT2; AKT3; SOS2; IQGAP1; STAT3; FZD5; FZD6; MET; FAS; RPS6KB1; THBS1; TIAM1; SMAD2; PRKACB; PIK3R3; PIK3R2; PIK3R1; MTOR; PDCD4; EIF4B; KDR; ERBB2; IGF1R; ERBB4; RAC1; CAMK2D; CD44; MMP9; PLAU; FASLG; TNF; VEGFA; PIK3CA; FLNA; HGF; MDM2; ITPR1; MYC; KRAS; WNT5A; TP53; CASP3; ESR1; CCND1; WNT1; PPP1CA; GAB1; PLCG1; ROCK2; TLR2; DDX5; SLC9A1; PRKACA; BRAF; FZD9; PDPK1; ACTB; MMP2; PAK1; CDC42	4609; 3082; 2064; 2066; 3091; 7855; 5170; 6198; 60; 10818; 71; 595; 355; 3673; 3678; 10000; 3688; 27250; 5747; 6774; 1655; 8826; 3708; 8323; 8326; 4233; 673; 5290; 5293; 5295; 5296; 89780; 7474; 207; 208; 5335; 4313; 3791; 4318; 5328; 5879; 7422; 9475; 3845; 2316; 22800; 5567; 7471; 1499; 817; 2099; 8503; 836; 356; 5499; 7040; 7042; 7057; 6548; 3480; 7074; 1956; 7078; 2475; 1975; 7097; 5566; 7157; 960; 5058; 7124; 5604; 998; 4193; 2549; 4087; 6655	205	205
6.61036602649e-22	3.22806207627e-20	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	KEGG	path:hsa05166	NFATC1; TGFB2; CCNE1; MAP2K1; TGFB1; SMAD4; PIK3CD; NFKB2; KAT2B; BAX; SMAD3; IKBKB; AKT1; B2M; AKT3; MAP2K4; VDAC2; VDAC1; EGR1; XPO1; PIK3CA; CCNA2; PPP3R1; RAN; MAP3K3; MAP3K1; JUN; RB1; CDC20; ETS2; SMAD2; ETS1; PIK3R3; PIK3R2; PIK3R1; JAK1; PTTG1; MYC; MAPK9; MAP3K14; CHEK1; TGFBR2; TGFBR1; CDKN2A; NFKBIA; FOS; CREB5; MAPK8; SLC25A5; CHUK; TRRAP; CREB1; TNF; KAT2A; NFKB1; EGR2; EP300; NRP1; KRAS; CCNB2; TBPL1; CDC23; E2F3; E2F1; CCND1; CHEK2; XIAP; CCND2; CRTC3; AKT2; ATM; IL6; PTEN; PRKACA; TP53; ELK4; PRKACB; CDK4; CCNE2; ATF2	4609; 1029; 9232; 7042; 567; 2113; 581; 595; 1111; 2648; 5728; 6416; 8295; 5566; 4214; 4215; 1147; 8829; 2033; 3716; 3725; 8850; 3551; 4772; 5293; 5295; 4790; 4791; 4792; 207; 208; 5925; 7416; 7417; 7040; 3845; 5901; 10000; 5567; 292; 9519; 2353; 5599; 9020; 5296; 1869; 1871; 5604; 7514; 1385; 1386; 890; 894; 8503; 898; 7046; 7048; 2114; 5534; 4088; 1958; 1959; 9133; 9134; 4089; 7157; 11200; 331; 4087; 64784; 7124; 2005; 472; 9586; 991; 5601; 3569; 8697; 1019; 5290	219	219
4.02207516529e-21	1.68352574776e-19	Pancreatic cancer - Homo sapiens (human)	KEGG	path:hsa05212	TGFB1; TGFB2; SMAD4; PIK3CD; EGFR; BAX; SMAD3; IKBKB; AKT1; AKT2; AKT3; STAT3; PIK3CA; RPS6KB1; RB1; PIK3R3; PIK3R2; PIK3R1; JAK1; NFKB1; MAPK8; MAPK9; ERBB2; TGFBR2; TGFBR1; CDKN2A; RAC1; CHUK; MTOR; SMAD2; TP53; KRAS; E2F3; E2F1; CCND1; MAP2K1; CASP9; CDK4; BRAF; CDK6; VEGFA; RALA; CDC42	7040; 1871; 2475; 3716; 3845; 5898; 10000; 7042; 7046; 6198; 1029; 673; 1956; 5925; 2064; 5290; 5293; 581; 5295; 5296; 7048; 4089; 4790; 8503; 5599; 842; 1869; 207; 208; 4088; 595; 4087; 3551; 5601; 1019; 5604; 998; 7157; 6774; 5879; 1147; 1021; 7422	76	76
2.91690062929e-20	1.06831485548e-18	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	KEGG	path:hsa04933	NFATC1; TGFB2; EGR1; TGFB1; SMAD4; PIK3CD; BAX; PIK3R3; AKT1; PLCG1; AKT3; NOX4; IL1A; COL3A1; IL1B; SERPINE1; STAT3; PIK3CA; RAC1; JUN; JAK2; PIK3R2; PIK3R1; EDN1; NFKB1; MAPK8; MAPK9; TGFBR2; TGFBR1; PIM1; PRKCE; PRKCD; FOXO1; TNF; VEGFA; SMAD2; COL4A1; SMAD3; KRAS; F3; CASP3; CCND1; CXCL8; AKT2; IL6; CDK4; CDC42; MMP2; BCL2	2308; 3845; 581; 595; 596; 2152; 6774; 3717; 3725; 4772; 5290; 5292; 5293; 5295; 5296; 4790; 207; 208; 5335; 4313; 5879; 7422; 1281; 1282; 10000; 3552; 836; 5601; 50507; 1906; 7040; 8503; 7042; 7046; 7048; 1958; 5054; 5580; 5581; 4088; 7124; 5599; 3553; 998; 3569; 4087; 3576; 4089; 1019	100	100
4.17174401724e-20	1.35813444117e-18	Prostate cancer - Homo sapiens (human)	KEGG	path:hsa05215	PDGFRB; NFKBIA; EGFR; MAP2K1; TCF7L1; CTNNB1; AKT1; AKT2; ERG; GSK3B; PIK3CA; CCNE2; ZEB1; CCNE1; PIK3CD; RB1; PIK3R3; PIK3R2; PIK3R1; NFKB1; ERBB2; IGF1R; CREB5; CHUK; PLAU; MTOR; CREB1; HSP90AA1; TP53; MDM2; EP300; FGFR2; KRAS; IKBKB; E2F3; SOS2; E2F1; CCND1; FOXO1; TCF7L2; CASP9; PTEN; GSTP1; AKT3; BRAF; MMP9; PDPK1; BCL2	2064; 2078; 5159; 5170; 595; 596; 5728; 4193; 1147; 673; 5293; 5295; 5296; 4790; 4792; 207; 5328; 2263; 4318; 208; 2308; 3845; 10000; 6934; 6935; 5925; 8503; 842; 1869; 1871; 1385; 9586; 2932; 898; 2950; 3480; 1956; 2475; 9134; 3320; 1499; 3551; 5604; 83439; 2033; 7157; 5290; 6655	97	97
3.5291666802e-18	1.0340458373e-16	Hepatocellular carcinoma - Homo sapiens (human)	KEGG	path:hsa05225	WNT3A; TGFB1; TGFB2; PHF10; ACTG1; MAP2K1; SMAD4; PIK3CD; EGFR; IGF1R; BAX; GAB1; CTNNB1; AKT1; AKT2; AKT3; SOS2; SMARCA2; FZD5; FZD6; PTEN; PIK3CA; PBRM1; RPS6KB1; RB1; DVL2; PIK3R3; PIK3R2; PIK3R1; MYC; KRAS; TGFBR2; TGFBR1; CDKN2A; SHC1; FRAT1; MTOR; SMAD2; APC; HGF; TP53; SMAD3; WNT5A; KEAP1; E2F3; CSNK1A1; E2F1; CCND1; ARID1B; ARID1A; PLCG1; TCF7L2; GSK3B; MET; GSTP1; CDK4; BRAF; CDK6; FZD9; AXIN2; ACTB; TCF7L1; WNT1	4609; 1029; 3082; 2950; 9817; 7855; 6198; 581; 71; 595; 5728; 8289; 8313; 8323; 8326; 4233; 57492; 673; 5290; 5293; 5295; 5296; 89780; 207; 208; 5335; 3845; 60; 10000; 6934; 1499; 5925; 10023; 7471; 7474; 8503; 6464; 324; 1869; 1871; 2932; 7040; 1856; 7042; 7046; 7048; 55193; 3480; 1956; 2475; 1452; 2549; 6595; 5604; 55274; 83439; 7157; 4087; 4088; 4089; 1019; 1021; 6655	168	168
