,Term,Adjusted P-value,Fold_Enrichment,cohort
0,Pathways in cancer,1.6525640236059045e-36,2.296893981901253,Symptomatic
1,Cellular senescence,4.652823199558089e-24,3.038538635198221,Symptomatic
2,Human T-cell leukemia virus 1 infection,1.5788840229664336e-23,2.744577469578162,Symptomatic
3,Proteoglycans in cancer,1.5788840229664336e-23,2.641655814468981,Symptomatic
4,Hepatitis B,2.627010080975858e-23,3.1687617195638587,Symptomatic
5,Colorectal cancer,9.551269295321646e-23,3.7494069618288415,Symptomatic
6,Pancreatic cancer,1.1563346662089154e-21,3.90021377055294,Symptomatic
7,AGE-RAGE signaling pathway in diabetic complications,4.501263570094542e-21,3.3447769497165822,Symptomatic
8,Prostate cancer,6.2995874582909156e-21,3.6531272526109335,Symptomatic
9,Hepatocellular carcinoma,1.670833871296289e-19,2.726414824558895,Symptomatic
10,Human papillomavirus infection,3.9649304377240536e-19,2.2149521553864333,Symptomatic
11,MicroRNAs in cancer,4.779209877341861e-19,3.7479017803909342,Symptomatic
12,Gastric cancer,3.123073109752363e-18,2.7956571058175337,Symptomatic
13,Cell cycle,5.8252016896874214e-18,2.8862047043865227,Symptomatic
14,Breast cancer,7.112075217139208e-18,2.706513986423429,Symptomatic
15,FoxO signaling pathway,8.657118564715673e-17,2.8862047043865227,Symptomatic
16,Apoptosis,1.6191682970424735e-16,2.8530775341783556,Symptomatic
17,Kaposi sarcoma-associated herpesvirus infection,3.139886800827658e-16,2.5591501113957724,Symptomatic
18,Shigellosis,3.321340004972293e-16,2.466093875566756,Symptomatic
19,Chronic myeloid leukemia,3.830419522729864e-16,3.355997895592065,Symptomatic
20,Alzheimer disease,5.861304611424608e-16,2.001291175767163,Symptomatic
21,Hepatitis C,8.238843468434222e-16,2.8902470078940667,Symptomatic
22,Viral carcinogenesis,9.641604396032428e-16,2.769691250345544,Symptomatic
23,Non-small cell lung cancer,2.463391408283661e-15,3.4588844789180007,Symptomatic
24,Human cytomegalovirus infection,4.333841435686602e-15,2.3979818418321095,Symptomatic
25,Lipid and atherosclerosis,5.0382072881971215e-15,2.2651792339380292,Symptomatic
26,MAPK signaling pathway,6.155468468006788e-15,1.9889055455636047,Symptomatic
27,PI3K-Akt signaling pathway,7.286414998504645e-15,2.0896989004851108,Symptomatic
28,Small cell lung cancer,1.3425384626206308e-14,3.002679449638783,Symptomatic
29,Neurotrophin signaling pathway,1.5277412671616697e-14,2.7087108321916293,Symptomatic
30,Salmonella infection,2.055228460434489e-14,2.1067750917046006,Symptomatic
31,Renal cell carcinoma,2.4644533819310688e-14,3.261233937265544,Symptomatic
32,TNF signaling pathway,3.114537479582951e-14,2.7913294632388688,Symptomatic
33,Signaling pathways regulating pluripotency of stem cells,7.188849765115002e-14,2.35103887045296,Symptomatic
34,Measles,9.316080097682937e-14,2.6934073811622987,Symptomatic
35,Autophagy,2.273410439347249e-13,2.4896062226543507,Symptomatic
36,Epstein-Barr virus infection,4.389651791691012e-13,2.325335092714772,Symptomatic
37,Non-alcoholic fatty liver disease,5.162017089560227e-13,2.4523307945767834,Symptomatic
38,Chagas disease,5.906692519869772e-13,2.806852529010167,Symptomatic
39,Hippo signaling pathway,1.071697702546907e-12,2.2070977151191054,Symptomatic
40,p53 signaling pathway,1.0876309278655617e-12,3.162408666439315,Symptomatic
41,Focal adhesion,1.1257096957292726e-12,2.1944857281755676,Symptomatic
42,Endometrial cancer,1.757135776025793e-12,3.4332631124074973,Symptomatic
43,Thyroid hormone signaling pathway,2.7720256364311225e-12,2.6999447777185175,Symptomatic
44,Bladder cancer,3.730930116338078e-12,3.807243558580457,Symptomatic
45,Influenza A,9.513843859474574e-12,2.520044406068829,Symptomatic
46,Human immunodeficiency virus 1 infection,1.1958118179608e-11,2.1944857281755676,Symptomatic
47,Glioma,1.5066307421570118e-11,2.974783876899664,Symptomatic
48,ErbB signaling pathway,2.3413135734476003e-11,2.6975638740344623,Symptomatic
49,HIF-1 signaling pathway,2.7247562951510784e-11,2.5160913952357804,Symptomatic
50,Pathways of neurodegeneration,2.808727941528801e-11,1.651153706272983,Symptomatic
51,Prolactin signaling pathway,6.607162023570098e-11,3.0478968446882884,Symptomatic
52,PD-L1 expression and PD-1 checkpoint pathway in cancer,9.523446424095144e-11,2.664666753619408,Symptomatic
53,T cell receptor signaling pathway,1.1627692572382932e-10,2.5630812175576714,Symptomatic
54,Ubiquitin mediated proteolysis,1.2451120973218144e-10,2.2243406660184735,Symptomatic
55,Melanoma,1.4136070715957389e-10,3.0478968446882884,Symptomatic
56,Diabetic cardiomyopathy,1.8518112566538351e-10,2.1935572383392334,Symptomatic
57,Yersinia infection,2.1508125323746612e-10,2.2247544968400583,Symptomatic
58,Longevity regulating pathway,2.67277255253813e-10,2.574947334305623,Symptomatic
59,Fluid shear stress and atherosclerosis,3.468764422061426e-10,2.242696065362962,Symptomatic
60,Central carbon metabolism in cancer,3.468764422061426e-10,2.8968157510938264,Symptomatic
61,Ras signaling pathway,4.800762097239433e-10,2.0001823043266893,Symptomatic
62,Acute myeloid leukemia,5.985510631494253e-10,2.9307363102401234,Symptomatic
63,mTOR signaling pathway,8.852725116515603e-10,2.037320967802251,Symptomatic
64,Relaxin signaling pathway,1.497732145943766e-09,2.391022524712364,Symptomatic
65,Pathogenic Escherichia coli infection,1.6013462342358743e-09,1.986387943607195,Symptomatic
66,Epithelial cell signaling in Helicobacter pylori infection,1.8348479589504546e-09,2.9307363102401234,Symptomatic
67,C-type lectin receptor signaling pathway,1.916768102796521e-09,2.420687816582245,Symptomatic
68,TGF-beta signaling pathway,1.916768102796521e-09,2.4927221253109897,Symptomatic
69,Adherens junction,2.5575364163392287e-09,2.793358045697618,Symptomatic
70,Osteoclast differentiation,3.2086137702338743e-09,2.2873558138507093,Symptomatic
71,Coronavirus disease,3.583221161381044e-09,1.9723000858511157,Symptomatic
72,Insulin resistance,5.530120238725238e-09,2.3949358185334977,Symptomatic
73,Prion disease,6.046291989766755e-09,1.9364159198686492,Symptomatic
74,Sphingolipid signaling pathway,6.052384971836773e-09,2.291986088777533,Symptomatic
75,Huntington disease,1.652003227117709e-08,1.7692524194072183,Symptomatic
76,"Growth hormone synthesis, secretion and action",2.2618331546602733e-08,2.4653751073138945,Symptomatic
77,AMPK signaling pathway,1.0292067549144793e-07,2.185669581962609,Symptomatic
78,Insulin signaling pathway,1.0292067549144793e-07,2.0415653864851726,Symptomatic
79,Toll-like receptor signaling pathway,1.1278197927866225e-07,2.4435724703104382,Symptomatic
80,Chemical carcinogenesis,1.935545937504214e-07,2.0284886514678484,Symptomatic
81,Endocytosis,1.935545937504214e-07,1.6257639419404124,Symptomatic
82,Toxoplasmosis,1.9960121683376045e-07,2.2303303226466746,Symptomatic
83,B cell receptor signaling pathway,2.635224677213405e-07,2.4593374539898605,Symptomatic
84,Parkinson disease,3.07758888923796e-07,1.7613292110802714,Symptomatic
85,Estrogen signaling pathway,3.105472863630908e-07,2.227724796568817,Symptomatic
86,Bacterial invasion of epithelial cells,3.511602903172394e-07,2.5864426349052017,Symptomatic
87,Progesterone-mediated oocyte maturation,5.492192043708538e-07,2.461762836094387,Symptomatic
88,Amoebiasis,8.671713007832119e-07,2.4002187651920273,Symptomatic
89,Type II diabetes mellitus,8.780291183641504e-07,3.136402016221887,Symptomatic
90,Cushing syndrome,9.203753701253068e-07,1.9061298448755912,Symptomatic
91,Chemokine signaling pathway,2.265632215238266e-06,1.8251000336561833,Symptomatic
92,Transcriptional misregulation in cancer,2.265632215238266e-06,1.848802631495874,Symptomatic
93,Th17 cell differentiation,2.4777474835886133e-06,2.2070977151191054,Symptomatic
94,VEGF signaling pathway,2.7729610765497183e-06,2.546651209752814,Symptomatic
95,JAK-STAT signaling pathway,2.8709364813050945e-06,2.1143625170048574,Symptomatic
96,Necroptosis,4.829219001581776e-06,2.333217584554483,Symptomatic
97,Wnt signaling pathway,5.327864030760028e-06,1.7233502707094386,Symptomatic
98,Oocyte meiosis,5.47617221642538e-06,2.1188138065143414,Symptomatic
99,Fc epsilon RI signaling pathway,7.943474435542207e-06,2.3973647595259253,Symptomatic
100,Inflammatory bowel disease,1.4427495510653936e-05,2.6485172581429266,Symptomatic
101,IL-17 signaling pathway,1.870145620085804e-05,2.0691541079241613,Symptomatic
102,Tight junction,2.081042180963993e-05,1.8013812233692699,Symptomatic
103,cAMP signaling pathway,2.1677633421526493e-05,1.7873429349430792,Symptomatic
104,Rap1 signaling pathway,2.3675519976672884e-05,1.5817533625020255,Symptomatic
105,Regulation of actin cytoskeleton,2.719735127705334e-05,1.5579513283193684,Symptomatic
106,Mitophagy,2.915707162017896e-05,2.135901014631392,Symptomatic
107,Amyotrophic lateral sclerosis,3.773916686670547e-05,1.4172667602102615,Symptomatic
108,Choline metabolism in cancer,3.8676676230392944e-05,1.9706229599277727,Symptomatic
109,Spinocerebellar ataxia,4.966955669942532e-05,1.655323286339329,Symptomatic
110,Apelin signaling pathway,5.241015495255555e-05,1.8164609513812109,Symptomatic
111,Glucagon signaling pathway,6.465024318728928e-05,2.025336726815179,Symptomatic
112,NOD-like receptor signaling pathway,9.496100939760074e-05,1.7752742491175413,Symptomatic
113,Legionellosis,0.00010210276849819833,2.1646535282898918,Symptomatic
114,Thyroid cancer,0.0001222009705261175,2.6083882087771246,Symptomatic
115,Thermogenesis,0.0001222009705261175,1.6647822765469824,Symptomatic
116,Adipocytokine signaling pathway,0.0001222009705261175,2.132280843420153,Symptomatic
