Term,Asymptomatic,Symptomatic
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,1.0,1.9747716398434103
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C,1.0,3.9727758872143903
Activation Of Protein Kinase Activity,1.0,1.85006720237925
Adherens Junction Assembly,1.0,3.7835960830613233
Amyloid Fibril Formation,1.0,2.439423790394801
Aortic Valve Development,1.0,2.758872143898882
Aortic Valve Morphogenesis,1.0,2.6083882087771246
Apoptotic Mitochondrial Changes,1.0,2.6485172581429266
Apoptotic Process,1.0,2.242131012184488
Artery Development,1.0,2.979581915410793
Artery Morphogenesis,1.0,3.188030032949819
Atrial Septum Development,1.0,2.546651209752814
Atrioventricular Valve Development,1.0,2.546651209752814
Atrioventricular Valve Morphogenesis,1.0,2.9427969534921408
Autophagosome Assembly,1.0,1.873950890195467
Autophagosome Organization,1.0,1.891798041530662
B Cell Activation,1.0,1.7272938640062565
B Cell Differentiation,1.0,1.9312105007292173
BMP Signaling Pathway,1.0,2.297183336144375
Blood Vessel Morphogenesis,1.0,2.4637369843190013
Brain Development,1.0,1.5317916978065433
Branching Morphogenesis Of An Epithelial Tube,1.0,1.9166901210244862
Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication,1.0,3.9727758872143903
CRD-mediated mRNA Stabilization,1.0,4.634905201750122
Canonical Wnt Signaling Pathway,1.0,1.8335888710220263
Cardiac Epithelial To Mesenchymal Transition,1.0,3.3106465726786585
Cardiac Left Ventricle Morphogenesis,1.0,3.9727758872143903
Cardiac Right Ventricle Morphogenesis,1.0,3.310646572678658
Cardiac Ventricle Morphogenesis,1.0,3.115902656638737
Cardioblast Differentiation,1.0,3.7835960830613233
Cell Cycle G1/S Phase Transition,1.0,3.172702965483714
Cell Cycle G2/M Phase Transition,1.0,2.4593374539898605
Cell Surface Receptor Signaling Pathway Involved In Heart Development,1.0,2.8968157510938264
Cellular Component Assembly,1.0,1.4494373054513527
Cellular Response To Acid Chemical,1.0,2.878823106677094
Cellular Response To Amino Acid Stimulus,1.0,2.3647475519133274
Cellular Response To BMP Stimulus,1.0,2.123811008888196
Cellular Response To Cadmium Ion,1.0,2.7879129033083436
Cellular Response To Corticosteroid Stimulus,1.0,3.055981451703377
Cellular Response To Cytokine Stimulus,1.0,1.5411630596952375
Cellular Response To Decreased Oxygen Levels,1.0,2.342919112972589
Cellular Response To Epidermal Growth Factor Stimulus,1.0,2.482984929508994
Cellular Response To Fibroblast Growth Factor Stimulus,1.0,2.0017862997591886
Cellular Response To Glucocorticoid Stimulus,1.0,2.8376970622959927
Cellular Response To Glucose Starvation,1.0,2.080977845683728
Cellular Response To Glucose Stimulus,1.0,1.8622386971317455
Cellular Response To Growth Factor Stimulus,1.0,2.3575816502408626
Cellular Response To Hexose Stimulus,1.0,2.482984929508994
Cellular Response To Hydrogen Peroxide,1.0,2.2070977151191054
Cellular Response To Hypoxia,1.0,2.3121976063152534
Cellular Response To Insulin Stimulus,1.0,2.257259026826358
Cellular Response To Interleukin-6,1.0,2.979581915410793
