,Term,Adjusted P-value,Fold_Enrichment,module,cohort
701,Osmosensory Signaling Pathway (GO:0007231),0.0037824405047221,4.339376655123243,1,symptomatic
701,Osmosensory Signaling Pathway (GO:0007231),0.0037824405047221,4.339376655123243,1,asymptomatic
149,Gap Junction Assembly (GO:0016264),0.000629014849618688,6.241429827131556,2,asymptomatic
119,Histone H4-K5 Acetylation (GO:0043981),1.0889689195725117e-13,9.150343642611684,3,asymptomatic
119,Histone H4-K5 Acetylation (GO:0043981),1.0889689195725117e-13,9.150343642611684,3,symptomatic
4,Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141),0.000730835534556508,5.321871451283216,4,asymptomatic
4,Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033141),0.000730835534556508,5.321871451283216,4,symptomatic
152,Nuclear Polyadenylation-Dependent tRNA Catabolic Process (GO:0071038),6.767214248547374e-06,12.49384164222874,5,asymptomatic
61,Regulation Of Mitochondrial mRNA Stability (GO:0044528),1.514436721157024e-07,25.35952380952381,7,asymptomatic
61,Regulation Of Mitochondrial mRNA Stability (GO:0044528),1.514436721157024e-07,25.35952380952381,7,symptomatic
4,Ethanol Catabolic Process (GO:0006068),1.379571473930933e-07,40.5752380952381,9,asymptomatic
4,Ethanol Catabolic Process (GO:0006068),1.379571473930933e-07,40.5752380952381,9,symptomatic
106,Positive Regulation Of Nuclear Cell Cycle DNA Replication (GO:0010571),0.0160034758294457,16.199239543726236,11,asymptomatic
106,Positive Regulation Of Nuclear Cell Cycle DNA Replication (GO:0010571),0.0160034758294457,16.199239543726236,11,symptomatic
0,"Complement Activation, Lectin Pathway (GO:0001867)",2.6407321345440967e-10,155.1116504854369,14,symptomatic
21,Positive Regulation Of mRNA Binding (GO:1902416),0.0080796871442862,29.341597796143255,15,symptomatic
13,Regulation Of Macrophage Proliferation (GO:0120040),0.0052697288867828,39.816822429906544,38,asymptomatic
13,Regulation Of Macrophage Proliferation (GO:0120040),0.0052697288867828,39.816822429906544,38,symptomatic
194,Aggrephagy (GO:0035973),2.2301312941006457e-05,10.033914272256242,342,asymptomatic
194,Aggrephagy (GO:0035973),2.2301312941006457e-05,10.033914272256242,342,symptomatic
132,Zinc Ion Import Into Organelle (GO:0062111),0.00018811068446687,7.734931009440815,343,asymptomatic
132,Zinc Ion Import Into Organelle (GO:0062111),0.00018811068446687,7.734931009440815,343,symptomatic
91,Histone H4-K8 Acetylation (GO:0043982),1.2060656128765068e-15,12.634638196915779,344,asymptomatic
91,Histone H4-K8 Acetylation (GO:0043982),1.2060656128765068e-15,12.634638196915779,344,symptomatic
150,Polyadenylation-Dependent snoRNA 3'-End Processing (GO:0071051),2.322736177017625e-06,14.630494505494507,345,asymptomatic
22,Regulation Of Lysosome Size (GO:0062196),0.0099461074682801,6.197846959557753,346,asymptomatic
22,Regulation Of Lysosome Size (GO:0062196),0.0099461074682801,6.197846959557753,346,symptomatic
254,Signal Complex Assembly (GO:0007172),1.3983247032196592e-05,15.075725406935598,347,symptomatic
43,Dense Core Granule Cytoskeletal Transport (GO:0099519),0.0025248495215956,16.436728395061728,348,asymptomatic
43,Dense Core Granule Cytoskeletal Transport (GO:0099519),0.0025248495215956,16.436728395061728,348,symptomatic
61,Regulation Of Mitochondrial mRNA Stability (GO:0044528),1.215141528035001e-07,26.105392156862745,349,asymptomatic
4,Ethanol Catabolic Process (GO:0006068),1.790084810055142e-07,39.01465201465202,351,asymptomatic
4,Ethanol Catabolic Process (GO:0006068),1.790084810055142e-07,39.01465201465202,351,symptomatic
39,Regulation Of Pentose-Phosphate Shunt (GO:0043456),0.0022526109206286,17.30111675126904,353,symptomatic
39,Regulation Of Pentose-Phosphate Shunt (GO:0043456),0.0022526109206286,17.30111675126904,353,asymptomatic
7,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),0.0223865949649469,28.529464285714287,355,symptomatic
20,Postsynaptic Membrane Assembly (GO:0097104),0.0013692229233774,13.658630418055912,356,asymptomatic
28,snRNA Transcription By RNA Polymerase II (GO:0042795),1.9582001727888855e-14,59.53975155279503,358,symptomatic
13,Regulation Of Macrophage Proliferation (GO:0120040),0.0052697288867828,39.816822429906544,367,asymptomatic
13,Regulation Of Macrophage Proliferation (GO:0120040),0.0052697288867828,39.816822429906544,367,symptomatic
216,"Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway (GO:0035872)",7.457205379585681e-05,12.186498855835241,571,symptomatic
216,"Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway (GO:0035872)",7.457205379585681e-05,12.186498855835241,571,asymptomatic
210,Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087),1.556151630005925e-06,14.670798898071627,572,symptomatic
210,Establishment Of Mitotic Sister Chromatid Cohesion (GO:0034087),1.556151630005925e-06,14.670798898071627,572,asymptomatic
136,Nuclear Polyadenylation-Dependent ncRNA Catabolic Process (GO:0071046),1.5376886888407657e-06,15.651726671565028,573,asymptomatic
136,Nuclear Polyadenylation-Dependent ncRNA Catabolic Process (GO:0071046),1.5376886888407657e-06,15.651726671565028,573,symptomatic
0,Intermediate Filament Organization (GO:0045109),1.5555965608728625e-15,5.6986000059447735,574,symptomatic
0,Intermediate Filament Organization (GO:0045109),1.5555965608728625e-15,5.6986000059447735,574,asymptomatic
50,Mitochondrial Proton-Transporting ATP Synthase Complex Assembly (GO:0033615),5.790706823484616e-09,26.13742331288344,576,asymptomatic
110,Neutrophil Degranulation (GO:0043312),0.00010165053053551044,12.996949359365468,577,asymptomatic
110,Neutrophil Degranulation (GO:0043312),0.00010165053053551044,12.996949359365468,577,symptomatic
58,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)",0.0018808231845185,16.41772639691715,578,symptomatic
