Term,Asymptomatic,Symptomatic
'De Novo' Post-Translational Protein Folding (GO:0051084),4.0,5.0
2-Oxoglutarate Metabolic Process (GO:0006103),1.0,
3'-Phosphoadenosine 5'-Phosphosulfate Metabolic Process (GO:0050427),2.0,2.0
3'-UTR-mediated mRNA Destabilization (GO:0061158),5.0,2.0
3'-UTR-mediated mRNA Stabilization (GO:0070935),3.0,1.0
5S Class rRNA Transcription By RNA Polymerase III (GO:0042791),4.0,4.0
7-Methylguanosine Cap Hypermethylation (GO:0036261),3.0,2.0
7-Methylguanosine RNA Capping (GO:0009452),,1.0
ADP Transport (GO:0015866),5.0,2.0
ATP Biosynthetic Process (GO:0006754),5.0,2.0
ATP Metabolic Process (GO:0046034),9.0,6.0
ATP Synthesis Coupled Electron Transport (GO:0042773),4.0,1.0
AV Node Cell To Bundle Of His Cell Communication (GO:0086067),3.0,1.0
Acetylcholine Receptor Signaling Pathway (GO:0095500),2.0,
Acidic Amino Acid Transport (GO:0015800),2.0,2.0
Actin Crosslink Formation (GO:0051764),1.0,3.0
Actin Cytoskeleton Reorganization (GO:0031532),4.0,7.0
Actin Filament Bundle Assembly (GO:0051017),4.0,4.0
Actin Filament Bundle Organization (GO:0061572),4.0,4.0
Actin Filament Capping (GO:0051693),2.0,4.0
Actin Filament Depolymerization (GO:0030042),4.0,4.0
Actin Filament Network Formation (GO:0051639),3.0,4.0
Actin Filament Organization (GO:0007015),6.0,8.0
Actin Filament Polymerization (GO:0030041),2.0,4.0
Actin Filament Reorganization (GO:0090527),,2.0
Actin Filament-Based Transport (GO:0099515),3.0,3.0
Actin Nucleation (GO:0045010),3.0,3.0
Actin Polymerization Or Depolymerization (GO:0008154),2.0,4.0
Action Potential (GO:0001508),1.0,
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),3.0,4.0
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),5.0,7.0
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635),3.0,4.0
Activation Of GTPase Activity (GO:0090630),5.0,8.0
Activation Of NF-kappaB-inducing Kinase Activity (GO:0007250),4.0,6.0
Activation Of Phospholipase C Activity (GO:0007202),,2.0
Activation Of Protein Kinase Activity (GO:0032147),4.0,6.0
Activation Of Protein Kinase B Activity (GO:0032148),1.0,3.0
Activin Receptor Signaling Pathway (GO:0032924),2.0,1.0
Actomyosin Structure Organization (GO:0031032),6.0,8.0
Acute Inflammatory Response (GO:0002526),1.0,4.0
Acute-Phase Response (GO:0006953),1.0,2.0
Acylglycerol Catabolic Process (GO:0046464),1.0,
Acylglycerol Homeostasis (GO:0055090),,1.0
Acylglycerol Metabolic Process (GO:0006639),,2.0
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),,2.0
Adenine Nucleotide Transport (GO:0051503),2.0,2.0
Adenosine To Inosine Editing (GO:0006382),1.0,1.0
Adherens Junction Assembly (GO:0034333),,2.0
Adherens Junction Maintenance (GO:0034334),3.0,3.0
Adherens Junction Organization (GO:0034332),1.0,3.0
Adult Heart Development (GO:0007512),4.0,4.0
