Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Regulation Of Endothelial Cell Differentiation (GO:0045601),3/8,2.8880735184554563e-05,0.0327796344344694,0,0,74.37,777.3402125338343,BTG1;ZEB1;VEZF1,GO_Biological_Process_2023
Regulation Of DNA-templated Transcription (GO:0006355),31/1922,0.000167282285917276,0.0628542057672193,0,0,2.22876304023845,19.380939688990544,YAP1;CREBZF;ZNF395;BTG1;SATB1;SPIN4;NR2C2;BACH1;IKZF5;HMBOX1;HAS3;ZNF724;HIVEP2;SNX5;MAP2K1;ZFHX2;POU2F1;PCGF5;ATAD2;VEZF1;ACVR2B;ARID1B;KLF7;CREB1;ZEB1;RYBP;MDFIC;TNIP2;LHX1;CREBRF;ZNF711,GO_Biological_Process_2023
Histone H2A Monoubiquitination (GO:0035518),3/14,0.00018108715979659547,0.0628542057672193,0,0,33.794318181818184,291.18982730198934,PCGF5;TRIM37;BMI1,GO_Biological_Process_2023
Protein Targeting To Peroxisome (GO:0006625),3/16,0.00027527689358465324,0.0628542057672193,0,0,28.59230769230769,234.3921066343576,PEX7;TRIM37;RAB8B,GO_Biological_Process_2023
Peroxisomal Membrane Transport (GO:0015919),3/17,0.0003322689291659174,0.0628542057672193,0,0,26.548660714285717,212.64324726466853,PEX7;TRIM37;RAB8B,GO_Biological_Process_2023
Hippo Signaling (GO:0035329),3/17,0.0003322689291659174,0.0628542057672193,0,0,26.548660714285717,212.64324726466853,YAP1;LATS2;STK3,GO_Biological_Process_2023
Positive Regulation Of DNA-templated Transcription (GO:0045893),22/1243,0.0004915362188575026,0.0796990869147522,0,0,2.378889527825698,18.12232078573667,YAP1;CREBZF;ZNF395;MAP2K1;POU2F1;PCGF5;ATAD2;VEZF1;NR2C2;ARID1B;SENP1;KLF7;CREB1;RYBP;MDFIC;TNIP2;LHX1;CAPRIN2;HAS3;CREBRF;ZNF711;SNX5,GO_Biological_Process_2023
Sphingomyelin Biosynthetic Process (GO:0006686),2/5,0.0006495996958121441,0.0921619568433479,0,0,82.12836438923395,602.7527335168605,SAMD8;SGMS1,GO_Biological_Process_2023
Histone H2A-K119 Monoubiquitination (GO:0036353),2/6,0.0009691823119061814,0.122224658223724,0,0,61.59316770186335,427.39855196251705,PCGF5;TRIM37,GO_Biological_Process_2023
Protein Stabilization (GO:0050821),7/208,0.0016145043648553,0.166457113548313,0,0,4.383594846281413,28.180935703652796,HSP90AA1;CREB1;FBXW7;TNIP2;ANK2;TRIM37;STK3,GO_Biological_Process_2023
Negative Regulation Of DNA-templated Transcription (GO:0045892),18/1025,0.0017860878470004,0.166457113548313,0,0,2.3212683628394344,14.688353912746088,YAP1;CREBZF;POU2F1;SATB1;UBE2D1;BMI1;NR2C2;BACH1;PARP15;ACVR2B;IKZF5;KLF7;HMBOX1;CREB1;ZEB1;MDFIC;LHX1;TRIM37,GO_Biological_Process_2023
Intestinal Epithelial Cell Differentiation (GO:0060575),2/8,0.0017898345940232,0.166457113548313,0,0,41.05797101449275,259.71761813622726,YAP1;IL6ST,GO_Biological_Process_2023
Regulation Of Transcription By RNA Polymerase II (GO:0006357),29/2028,0.0019065572476899,0.166457113548313,0,0,1.9311969417544592,12.094036167610506,YAP1;CREBZF;ZNF395;SATB1;UBE2D1;BMI1;NR2C2;BACH1;IKZF5;HMBOX1;HIVEP2;ZFHX2;POU2F1;PCGF5;ATAD2;VEZF1;PARP15;ACVR2B;ARID1B;SENP1;KLF7;CREB1;ZEB1;TNIP2;LHX1;CAPRIN2;CREBRF;ZNF711;TRIM37,GO_Biological_Process_2023
Positive Regulation Of Catabolic Process (GO:0009896),4/79,0.003975772322407,0.2530340290316054,0,0,6.628763102725367,36.64072837481817,DDB1;HSP90AA1;FBXW7;ASB11,GO_Biological_Process_2023
Sphingomyelin Metabolic Process (GO:0006684),2/12,0.0041294941150331,0.2530340290316054,0,0,24.629813664596277,135.2078342017284,SAMD8;SGMS1,GO_Biological_Process_2023
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),16/938,0.0042494571335387,0.2530340290316054,0,0,2.2329452388330604,12.194033646950526,YAP1;CREBZF;MDC1;ZNF395;POU2F1;PCGF5;ATAD2;VEZF1;NR2C2;SENP1;KLF7;CREB1;TNIP2;CAPRIN2;CREBRF;ZNF711,GO_Biological_Process_2023
Epigenetic Regulation Of Gene Expression (GO:0040029),4/83,0.0047422255662164,0.2530340290316054,0,0,6.291855743969429,33.66928502611182,CREBZF;TRIM37;BMI1;ARID1B,GO_Biological_Process_2023
Interleukin-6-Mediated Signaling Pathway (GO:0070102),2/13,0.0048542893299164,0.2530340290316054,0,0,22.38961038961039,119.2894387719635,YAP1;IL6ST,GO_Biological_Process_2023
Protein Import Into Peroxisome Matrix (GO:0016558),2/13,0.0048542893299164,0.2530340290316054,0,0,22.38961038961039,119.2894387719635,PEX7;TRIM37,GO_Biological_Process_2023
Regulation Of Gene Expression (GO:0010468),18/1127,0.0048789246813065,0.2530340290316054,0,0,2.09635272535058,11.158530090227014,YAP1;ZNF395;NDFIP2;MAP2K1;MBNL1;BTG1;FBXW7;SPIN4;ANK2;BMI1;NR2C2;BACH1;PARP15;ACVR2B;RYBP;LHX1;ZNF724;ITGB8,GO_Biological_Process_2023
Positive Regulation Of Protein Ubiquitination (GO:0031398),4/84,0.0049482683009907,0.2530340290316054,0,0,6.212893081761006,32.98249486120186,NDFIP2;FBXW7;UBE2D1;BMI1,GO_Biological_Process_2023
Protein Localization To Plasma Membrane (GO:0072659),5/137,0.0053297084087375,0.2530340290316054,0,0,4.724060222477944,24.72789836639081,C2CD5;P2RY1;ANK2;NECTIN3;RAB8B,GO_Biological_Process_2023
Positive Regulation Of Osteoblast Differentiation (GO:0045669),3/44,0.0055098372316737,0.2530340290316054,0,0,9.053048780487805,47.08690015955049,YAP1;IL6ST;ACVR2B,GO_Biological_Process_2023
Negative Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010801),2/14,0.0056331596819849,0.2530340290316054,0,0,20.522774327122157,106.28918799431756,SPRED1;CALM2,GO_Biological_Process_2023
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),11/557,0.0060565160999287,0.2530340290316054,0,0,2.5568850009639483,13.057041477691758,YAP1;MAP2K1;CREB1;RYBP;MDFIC;LHX1;ATAD2;HAS3;ZNF711;ARID1B;SNX5,GO_Biological_Process_2023
Intracellular Protein Transmembrane Transport (GO:0065002),3/46,0.006240871252324,0.2530340290316054,0,0,8.63110465116279,43.81697212593191,PEX7;C2CD5;TRIM37,GO_Biological_Process_2023
Positive Regulation Of Transferase Activity (GO:0051347),5/143,0.0063725443471086,0.2530340290316054,0,0,4.517290405430196,22.838320160694455,HMBOX1;HSP90AA1;FBXW7;EPHA1;BMI1,GO_Biological_Process_2023
Negative Regulation Of Gene Expression (GO:0010629),8/336,0.0064077238980005,0.2530340290316054,0,0,3.0698662470495672,15.50359556668166,YAP1;CREBZF;NDFIP2;FBXW7;ITGB8;TRIM37;BMI1;PARP15,GO_Biological_Process_2023
Negative Regulation Of Epithelial Cell Differentiation (GO:0030857),2/15,0.0064651866448604,0.2530340290316054,0,0,18.94314381270903,95.49851411815229,SPRED1;ZEB1,GO_Biological_Process_2023
Positive Regulation Of Protein Catabolic Process (GO:0045732),4/92,0.0068161415958454,0.2578773570428192,0,0,5.645797598627787,28.163845174964862,DDB1;HSP90AA1;FBXW7;ASB11,GO_Biological_Process_2023
Polyol Metabolic Process (GO:0019751),2/17,0.0082850922591516,0.2858859426484724,0,0,16.415734989648033,78.68550136310326,IPMK;SLC5A3,GO_Biological_Process_2023
"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",3/51,0.0083121022972683,0.2858859426484724,0,0,7.730078125,37.02740443286402,CREBZF;TRIM37;BMI1,GO_Biological_Process_2023
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),3/51,0.0083121022972683,0.2858859426484724,0,0,7.730078125,37.02740443286402,ANK2;PLCG1;CALM2,GO_Biological_Process_2023
Positive Regulation Of Cell Differentiation (GO:0045597),7/283,0.0086560894183529,0.2889606320538425,0,0,3.180207172054998,15.104369243018466,YAP1;CREB1;ZEB1;BTG1;IL6ST;ACVR2B;ARID1B,GO_Biological_Process_2023
Regulation Of Epidermal Cell Differentiation (GO:0045604),2/18,0.0092711894676303,0.3006514298788713,0,0,15.388975155279503,72.0333857734402,KLF7;AQP3,GO_Biological_Process_2023
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),13/763,0.0097700101309428,0.3080267082950039,0,0,2.205608888888889,10.2085235003794,YAP1;SATB1;UBE2D1;BMI1;NR2C2;BACH1;PARP15;ACVR2B;IKZF5;KLF7;HMBOX1;ZEB1;TRIM37,GO_Biological_Process_2023
Positive Regulation Of Vasculature Development (GO:1904018),4/104,0.010408223441931,0.3192792866646419,0,0,4.9652830188679244,22.667306807288654,BTG1;ITGB8;PLCG1;EPHA1,GO_Biological_Process_2023
Positive Regulation Of Embryonic Development (GO:0040019),2/20,0.0113913007147331,0.3315160592621052,0,0,13.677708764665288,61.2064515808089,LHX1;NR2C2,GO_Biological_Process_2023
Positive Regulation Of Epithelial Cell Differentiation (GO:0030858),2/20,0.0113913007147331,0.3315160592621052,0,0,13.677708764665288,61.2064515808089,BTG1;VEZF1,GO_Biological_Process_2023
Chaperone-Mediated Protein Complex Assembly (GO:0051131),2/21,0.0125235981353655,0.3400444735032144,0,0,12.957175547564564,56.75425020551437,HSP90AA1;BBS10,GO_Biological_Process_2023
Positive Regulation Of Translational Initiation (GO:0045948),2/21,0.0125235981353655,0.3400444735032144,0,0,12.957175547564564,56.75425020551437,SH3BGRL;UHMK1,GO_Biological_Process_2023
Generation Of Neurons (GO:0048699),5/172,0.0134724057647721,0.3400444735032144,0,0,3.727355415750777,16.054136131737256,MAP2K1;LHX1;MAP1B;DDIT4;ACSL4,GO_Biological_Process_2023
Fc-epsilon Receptor Signaling Pathway (GO:0038095),2/22,0.0137029299488557,0.3400444735032144,0,0,12.308695652173911,52.80609654479609,MAP2K4;PLCG1,GO_Biological_Process_2023
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),2/22,0.0137029299488557,0.3400444735032144,0,0,12.308695652173911,52.80609654479609,LATS2;MDFIC,GO_Biological_Process_2023
Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880),2/22,0.0137029299488557,0.3400444735032144,0,0,12.308695652173911,52.80609654479609,ANK2;CALM2,GO_Biological_Process_2023
Regulation Of Protein Ubiquitination (GO:0031396),4/113,0.0137815381331699,0.3400444735032144,0,0,4.553228319196815,19.50796705789997,NDFIP2;HSP90AA1;FBXW7;UBE2D1,GO_Biological_Process_2023
Regulation Of Embryonic Development (GO:0045995),3/62,0.0141472844049648,0.341641868077342,0,0,6.285381355932204,26.76461571880845,LHX1;NR2C2;CCSAP,GO_Biological_Process_2023
Axon Extension (GO:0048675),2/23,0.0149284640816824,0.3453327837515789,0,0,11.721975746820467,49.28487761400097,HSP90AA1;MAP1B,GO_Biological_Process_2023
Cellular Response To Interleukin-6 (GO:0071354),2/23,0.0149284640816824,0.3453327837515789,0,0,11.721975746820467,49.28487761400097,YAP1;IL6ST,GO_Biological_Process_2023
Regulation Of Cell-Matrix Adhesion (GO:0001952),3/65,0.0160535870273547,0.3453327837515789,0,0,5.980342741935484,24.709717471181342,EPHA1;EFNA5;PLET1,GO_Biological_Process_2023
Response To Purine-Containing Compound (GO:0014074),2/24,0.0161993787506385,0.3453327837515789,0,0,11.188594014680971,46.12813833012704,CREB1;P2RY1,GO_Biological_Process_2023
Positive Regulation Of Angiogenesis (GO:0045766),4/119,0.0163754450539599,0.3453327837515789,0,0,4.314356029532403,17.74051256758566,BTG1;ITGB8;PLCG1;EPHA1,GO_Biological_Process_2023
Regulation Of Cell Cycle Phase Transition (GO:1901987),2/25,0.0175148623564959,0.3453327837515789,0,0,10.70159330272752,43.28479308666137,DDB1;FBXW7,GO_Biological_Process_2023
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),5/186,0.0182954943680433,0.3453327837515789,0,0,3.436603958318764,13.750197674500535,YAP1;NDFIP2;FBXW7;ITGB8;PARP15,GO_Biological_Process_2023
Fc Receptor Signaling Pathway (GO:0038093),2/26,0.0188741133720413,0.3453327837515789,0,0,10.255175983436851,40.71267904351928,MAP2K4;PLCG1,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),2/26,0.0188741133720413,0.3453327837515789,0,0,10.255175983436851,40.71267904351928,ANK2;DSG2,GO_Biological_Process_2023
Regulation Of Notch Signaling Pathway (GO:0008593),3/70,0.019536423386264,0.3453327837515789,0,0,5.532649253731344,21.77360110528277,YAP1;FBXW7;IL6ST,GO_Biological_Process_2023
Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0061178),2/27,0.0202763402338755,0.3453327837515789,0,0,9.844472049689442,38.37671108519741,KLF7;EFNA5,GO_Biological_Process_2023
Phospholipid Biosynthetic Process (GO:0008654),2/27,0.0202763402338755,0.3453327837515789,0,0,9.844472049689442,38.37671108519741,SAMD8;SGMS1,GO_Biological_Process_2023
Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),2/27,0.0202763402338755,0.3453327837515789,0,0,9.844472049689442,38.37671108519741,ANK2;CALM2,GO_Biological_Process_2023
Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),2/27,0.0202763402338755,0.3453327837515789,0,0,9.844472049689442,38.37671108519741,FBXW7;BMI1,GO_Biological_Process_2023
Protein Phosphorylation (GO:0006468),9/500,0.0216193503082972,0.3453327837515789,0,0,2.302668817943767,8.82881568315245,CDKL2;MAP2K1;LATS2;CREB1;PRKG2;EPHA1;ACVR2B;UHMK1;STK3,GO_Biological_Process_2023
Diterpenoid Metabolic Process (GO:0016101),2/28,0.0217207612330814,0.3453327837515789,0,0,9.46536072623029,36.24747336170677,ADH1B;RDH11,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),2/28,0.0217207612330814,0.3453327837515789,0,0,9.46536072623029,36.24747336170677,ANK2;DSG2,GO_Biological_Process_2023
Chromatin Organization (GO:0006325),6/268,0.0227608930270867,0.3453327837515789,0,0,2.855302183108864,10.800784215007894,RYBP;SATB1;HAT1;ANP32B;BMI1;ARID1B,GO_Biological_Process_2023
Non-Motile Cilium Assembly (GO:1905515),2/31,0.0262995175614612,0.3453327837515789,0,0,8.484900406939387,30.86980440072324,BBS10;ARL13B,GO_Biological_Process_2023
Regulation Of Angiogenesis (GO:0045765),5/205,0.026488803175887,0.3453327837515789,0,0,3.107120253164557,11.28205666184662,SPRED1;BTG1;ITGB8;PLCG1;EPHA1,GO_Biological_Process_2023
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322),3/79,0.0267743896823782,0.3453327837515789,0,0,4.875246710526316,17.64990177238476,NDFIP2;FBXW7;UBE2D1,GO_Biological_Process_2023
Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),2/32,0.027905091428448,0.3453327837515789,0,0,8.201656314699793,29.35328603136312,FBXW7;BMI1,GO_Biological_Process_2023
Protein Transmembrane Import Into Intracellular Organelle (GO:0044743),2/32,0.027905091428448,0.3453327837515789,0,0,8.201656314699793,29.35328603136312,PEX7;TRIM37,GO_Biological_Process_2023
Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019),2/32,0.027905091428448,0.3453327837515789,0,0,8.201656314699793,29.35328603136312,ANK2;CALM2,GO_Biological_Process_2023
Protein Localization To Cell Periphery (GO:1990778),4/142,0.0290443303475514,0.3453327837515789,0,0,3.5911038191596028,12.70867216166097,C2CD5;P2RY1;ANK2;RAB8B,GO_Biological_Process_2023
