Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Sphingomyelin Biosynthetic Process (GO:0006686)	1/5	0.000999677239285086	0.0134336755540177	0	0	1666.0	11508.858100931304	SAMD8
GO_Biological_Process_2023	Regulation Of Protein Depolymerization (GO:1901879)	1/5	0.000999677239285086	0.0134336755540177	0	0	1666.0	11508.858100931304	MAP1B
GO_Biological_Process_2023	Placenta Blood Vessel Development (GO:0060674)	1/6	0.0011995241237685	0.0134336755540177	0	0	1332.7333333333331	8963.738320936684	ITGB8
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Activation (GO:1901388)	1/7	0.0013993412035435	0.0134336755540177	0	0	1110.5555555555557	7298.29760572189	ITGB8
GO_Biological_Process_2023	Neuroepithelial Cell Differentiation (GO:0060563)	1/7	0.0013993412035435	0.0134336755540177	0	0	1110.5555555555557	7298.29760572189	MAP1B
GO_Biological_Process_2023	Regulation Of Ceramide Biosynthetic Process (GO:2000303)	1/9	0.0017988858466888	0.0143910867735104	0	0	832.8333333333334	5263.9961892645415	SAMD8
GO_Biological_Process_2023	Sphingomyelin Metabolic Process (GO:0006684)	1/12	0.0023979788011638	0.0164432832079805	0	0	605.6060606060606	3653.699524747979	SAMD8
GO_Biological_Process_2023	Regulation Of Transforming Growth Factor Beta Production (GO:0071634)	1/16	0.0031963509494465	0.0184779687688299	0	0	444.02222222222224	2551.238662207853	ITGB8
GO_Biological_Process_2023	Placenta Development (GO:0001890)	1/22	0.0043930121554123	0.0184779687688299	0	0	317.06349206349205	1720.9382450199414	ITGB8
GO_Biological_Process_2023	Axon Extension (GO:0048675)	1/23	0.0045923510335213	0.0184779687688299	0	0	302.6363636363636	1629.2014564159526	MAP1B
GO_Biological_Process_2023	Regulation Of Supramolecular Fiber Organization (GO:1902903)	1/24	0.0047916600118212	0.0184779687688299	0	0	289.463768115942	1545.9907779727164	MAP1B
GO_Biological_Process_2023	Regulation Of Microtubule Depolymerization (GO:0031114)	1/24	0.0047916600118212	0.0184779687688299	0	0	289.463768115942	1545.9907779727164	MAP1B
GO_Biological_Process_2023	Phospholipid Biosynthetic Process (GO:0008654)	1/27	0.0053894075575753	0.0184779687688299	0	0	256.02564102564105	1337.303803970803	SAMD8
GO_Biological_Process_2023	Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110)	1/27	0.0053894075575753	0.0184779687688299	0	0	256.02564102564105	1337.303803970803	MAP1B
GO_Biological_Process_2023	Vasculogenesis (GO:0001570)	1/33	0.006584095548098	0.0209577134184157	0	0	207.95833333333331	1044.5951513751504	ITGB8
GO_Biological_Process_2023	Connective Tissue Development (GO:0061448)	1/38	0.0075788470742876	0.0209577134184157	0	0	179.8108108108108	877.9072583460236	ITGB8
GO_Biological_Process_2023	Neuron Projection Extension (GO:1990138)	1/39	0.0077777077543161	0.0209577134184157	0	0	175.0701754385965	850.2271896016904	MAP1B
GO_Biological_Process_2023	Regulation Of Amide Metabolic Process (GO:0034248)	1/41	0.0081753395103782	0.0209577134184157	0	0	166.3	799.343073344609	SAMD8
GO_Biological_Process_2023	Ceramide Biosynthetic Process (GO:0046513)	1/42	0.008374110589681	0.0209577134184157	0	0	162.2357723577236	775.9104929668098	SAMD8
GO_Biological_Process_2023	Regulation Of Cell Communication (GO:0010646)	1/49	0.0097646721502219	0.0209577134184157	0	0	138.52777777777777	641.2429069487843	ITGB8
GO_Biological_Process_2023	Amide Biosynthetic Process (GO:0043604)	1/51	0.010161706815005	0.0209577134184157	0	0	132.97333333333333	610.2317612564632	SAMD8
GO_Biological_Process_2023	Cartilage Development (GO:0051216)	1/52	0.0103601793891911	0.0209577134184157	0	0	130.359477124183	595.714877907605	ITGB8
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	1/53	0.010558622126276	0.0209577134184157	0	0	127.84615384615384	581.8038736810901	ITGB8
GO_Biological_Process_2023	Neuron Migration (GO:0001764)	1/55	0.0109554181035787	0.0209577134184157	0	0	123.09876543209876	555.6581197291017	MAP1B
GO_Biological_Process_2023	Ceramide Metabolic Process (GO:0006672)	1/55	0.0109554181035787	0.0209577134184157	0	0	123.09876543209876	555.6581197291017	SAMD8
