pathway,pthwy_id,fold_enrichment,q-value,cohort
cochlear nucleus development,GO:0021747,9.996116504854369,0.00894936918670939,symptomatic
positive regulation of macrophage apoptotic process,GO:2000111,9.996116504854369,0.008923170799160475,symptomatic
positive regulation of viral translation,GO:1904973,9.996116504854369,0.008912734342085433,symptomatic
regulation of viral translation,GO:1904971,9.996116504854369,0.008907525262984273,symptomatic
sphingolipid translocation,GO:0099039,9.996116504854369,0.008902322269255894,symptomatic
regulation of mast cell apoptotic process,GO:0033025,9.996116504854369,0.00892839819857416,symptomatic
negative regulation of metalloendopeptidase activity,GO:1904684,9.996116504854369,0.008897125350242901,symptomatic
positive regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010909,9.996116504854369,0.00889193449531277,symptomatic
viral penetration into host nucleus,GO:0075732,9.996116504854369,0.0012657282783194138,symptomatic
positive regulation of B cell apoptotic process,GO:0002904,9.996116504854369,0.008886749693857778,symptomatic
fungiform papilla formation,GO:0061198,9.996116504854369,0.008881570935294925,symptomatic
osteoblast fate commitment,GO:0002051,9.996116504854369,0.008933631726240381,symptomatic
regulation of cell proliferation involved in heart valve morphogenesis,GO:0003250,9.996116504854369,0.008876398209065864,symptomatic
positive regulation of calcidiol 1-monooxygenase activity,GO:0060559,9.996116504854369,0.00887123150463684,symptomatic
apoptotic process involved in embryonic digit morphogenesis,GO:1902263,9.996116504854369,0.008938871392941989,symptomatic
intrinsic apoptotic signaling pathway in response to hypoxia,GO:1990144,9.996116504854369,0.008917949517241714,symptomatic
negative regulation of primary miRNA processing,GO:2000635,9.996116504854369,0.0012667812968537894,symptomatic
central nervous system morphogenesis,GO:0021551,9.996116504854369,0.008944117209487143,symptomatic
regulation of primary miRNA processing,GO:2000634,8.33009708737864,0.0007402360967473025,symptomatic
cytoplasmic sequestering of NF-kappaB,GO:0007253,8.33009708737864,0.0007408917531660334,symptomatic
maintenance of DNA repeat elements,GO:0043570,8.33009708737864,0.0007395815997563676,symptomatic
regulation of protein localization to endoplasmic reticulum,GO:1905550,7.996893203883494,0.004676312075540983,symptomatic
regulation of termination of DNA-templated transcription,GO:0031554,7.996893203883494,0.0046700769927735955,symptomatic
cranial ganglion development,GO:0061550,7.996893203883494,0.004663858514753923,symptomatic
glial cell apoptotic process,GO:0034349,7.996893203883494,0.004654561786817537,symptomatic
hair follicle placode formation,GO:0060789,7.996893203883494,0.0046607554818099755,symptomatic
fungiform papilla morphogenesis,GO:0061197,7.996893203883494,0.004657656575239623,symptomatic
positive regulation of sulfur metabolic process,GO:0051176,7.996893203883494,0.004673192454409869,symptomatic
regulation of metalloendopeptidase activity,GO:1904683,7.996893203883494,0.004666965682318717,symptomatic
positive regulation of endodeoxyribonuclease activity,GO:0032079,7.497087378640777,0.027152185623523045,symptomatic
regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905005,7.497087378640777,0.02706098346451889,symptomatic
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905007,7.497087378640777,0.027073974815197965,symptomatic
hepatocyte growth factor receptor signaling pathway,GO:0048012,7.497087378640777,0.000339522379999053,symptomatic
establishment or maintenance of microtubule cytoskeleton polarity,GO:0030951,7.497087378640777,0.027099994973597965,symptomatic
regulation of leukocyte adhesion to arterial endothelial cell,GO:1904997,7.497087378640777,0.02711302381733527,symptomatic
protein localization to lipid droplet,GO:1990044,7.497087378640777,0.027126065194832787,symptomatic
anterograde neuronal dense core vesicle transport,GO:1990048,7.497087378640777,0.02713911912418545,symptomatic
endoplasmic reticulum tubular network membrane organization,GO:1990809,7.497087378640777,0.027230849608912294,symptomatic
synaptic vesicle recycling via endosome,GO:0036466,7.497087378640777,0.02716526471101029,symptomatic
negative regulation of lysosome organization,GO:1905672,7.497087378640777,0.02717835640484692,symptomatic
positive regulation of fibroblast growth factor production,GO:0090271,7.497087378640777,0.027191460723267773,symptomatic
regulation of Schwann cell differentiation,GO:0014038,7.497087378640777,0.027217707306977493,symptomatic
neuropilin signaling pathway,GO:0038189,7.497087378640777,0.027244004608723362,symptomatic
regulation of ureteric bud formation,GO:0072106,7.497087378640777,0.02725717232482231,symptomatic
positive regulation of ureteric bud formation,GO:0072107,7.497087378640777,0.027270352775656367,symptomatic
negative regulation of epithelial cell differentiation involved in kidney development,GO:2000697,7.497087378640777,0.02728354597970845,symptomatic
regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010908,7.497087378640777,0.027022084111191835,symptomatic
regulation of termination of RNA polymerase II transcription,GO:1904594,7.497087378640777,0.02704800457556708,symptomatic
negative regulation of myofibroblast differentiation,GO:1904761,7.497087378640777,0.027086978645560693,symptomatic
