,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Fold_Enrichment,module
0,GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),245/367,3.8779741467829686e-75,1.851344857674189e-71,0,0,7.316998697209858,1253.6840867722965,CBLC;KEAP1;UBE2L6;UBE2L3;PSMD8;HERC4;PSMD9;HERC3;NUB1;PSMD6;RNF115;CDC23;PSMD7;RNF114;PSMD4;PSMD2;PSMD3;WDR91;PSMD1;BTRC;FBXO8;SKP2;FBXO7;RNF111;FBXO9;HERC6;SKP1;ARRDC1;RNF126;CDC34;RNF125;RNF128;WDR81;KCTD10;KCTD13;RBCK1;KCTD17;CLOCK;VPS28;NEDD4L;ANAPC11;RNF213;RNF216;PSMF1;NDFIP2;ZRANB1;SIAH2;SIAH1;NPLOC4;TOLLIP;FBXL7;UBXN1;PPP1R11;FAF1;TGFB1I1;ZFAND2A;ZFAND2B;KIF14;OTUD7B;ANKRD9;TRIM9;UCHL1;CHMP1B;TRIM2;CHMP1A;TRIM3;ARIH2;UBXN7;UFD1;ARIH1;ELOC;UBL7;APC2;SIRT2;DDB1;PSMA5;RNF144A;PSMA6;RNF144B;RNF167;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;RNF166;DCST1;PSMA7;PSMB6;PSMB7;PSMB4;SH3BGRL;PSMB5;PSMB2;PSMB3;PSMB1;ZSWIM8;PRAME;CRBN;CSNK1A1;USP9X;SYVN1;WWP1;KLHL3;UBE2G1;UBE2G2;MIB1;SPSB2;ITCH;PSMC5;KBTBD6;PSMC6;PSMC3;PSMC4;NEDD4;PSMC1;KLHL8;PSMC2;TTC3;RLIM;CTNNB1;TRIP12;KBTBD7;SPSB4;UBE2D4;UBE3C;UBXN2B;UBXN2A;UBE2D2;UBE2D3;UBE2D1;UBE3B;FBXO21;FBXO22;FBXW4;RNF43;AREL1;FBXW5;FBXW11;UBE2E1;UBE4A;KCTD2;UBE4B;FBXO10;FBXO11;KCTD5;TRPC4AP;KCTD6;KLHL42;RBX1;TOM1L1;CHMP4C;PLAA;CHMP4A;SQSTM1;PSMD12;VCP;PSMD11;TSG101;PSMD14;KLHL15;PSMD13;CUL3;CUL1;RHOBTB3;UBR4;FBXO45;BAG6;ATXN3;SHARPIN;UBD;NAE1;KLHDC2;KLHDC3;UBE2H;KLHL25;SMURF2;SMURF1;UBE2C;KLHL22;BFAR;KLHL20;CNOT4;COPS3;NSFL1C;UBE2W;UBXN11;UBE2S;CHMP2B;CHMP2A;UBA1;UBE2K;GSK3B;TRIM72;GSK3A;RNF11;RNF13;TNFAIP3;ARRB1;ARRB2;PTPN23;TNFAIP1;RPGR;TNFSF13B;GET4;AXIN1;VPS37C;VPS37D;RAD23A;AXIN2;PPP2R5C;VPS37B;RAD23B;PJA2;UBE2R2;CHMP3;SPOPL;BIRC2;CHMP5;RNF34;AMBRA1;RNF7;CBL;FBXL22;ZNRF1;HECTD1;KCTD21;DCAF11;RFFL;UBQLN4;UBQLN3;FEM1A;FEM1B;RNF25;AMFR;FBXL17;FBXL14;PML;PINK1;APC;LNX1;STUB1;ASB2;TRIM31;TRIM32,2.8968590749460343,1
1,GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),199/284,1.2203966310846671e-66,2.9130867583991005e-63,0,0,8.458691403561893,1283.7877767310829,EPHB6;UBASH3B;AKT2;STMN1;KDR;AKT1;ANKS1A;EPHB2;EPHB1;ANKS1B;EPHA4;EPHA7;MUSK;EPHA8;FRS2;FRS3;TIAM1;DDIT4;TYRO3;PRKD2;PRKD1;EPHA1;EPHA3;NGEF;EPHA2;GRB7;EPHA10;PDGFA;PIK3R3;PIK3R2;MST1R;PIK3R1;FLRT2;FLRT3;PDGFD;FLRT1;PDGFC;LYN;SRMS;YES1;INSR;PTK6;PTK2;NFATC4;FIBP;GRB2;CEP57;DDR1;PTPRT;RET;PTPRJ;CD3E;SIPA1L1;RAC1;JAK2;SYK;INSRR;GAB1;GFRA2;MTSS1;VAV1;VAV2;CNKSR1;HCK;GFRAL;KIT;RAPGEF1;RAPGEF2;ARHGEF7;PLCB1;RHOQ;DDR2;NEDD9;EGFR;NTF4;PAK1;CHN1;NTF3;ALKAL2;SHOC2;ALKAL1;PAK3;PAK2;RYK;SORT1;STAT3;VEGFC;SORBS1;VEGFA;AXL;FRK;CDK5R1;CSF1;IRS1;IRS4;IRS2;FGF1;FGF3;FGF4;IGF1R;FGF6;FGF7;FGF8;FGF9;GRB14;GRB10;ROS1;PDGFRB;PDGFRA;HGF;TSC2;PRLR;PGF;DOK2;DOK3;DOK4;DOK5;DOK6;MAPKAPK2;ROR1;ROR2;BLK;SHC4;CSF1R;SHC2;SHC3;SHC1;PXN;EFNA5;EFNB2;SOCS2;FGF20;FGF23;FGF21;KL;BDNF;CAV2;EFNA1;AHI1;GH1;FER;EFNA2;FGF19;CASS4;FGFR4;FGFR3;FGFR2;FGFR1;ALK;BCAR3;GSK3B;GSK3A;FLT1;FLT3;FLT4;PIK3CB;GHR;CASP3;BLNK;NGF;FGR;GIGYF1;ZAP70;PIK3CA;LCK;RASA1;LCP2;CRK;MET;LTK;SRC;MVP;INS;EFS;ERBB3;ERBB4;ERBB2;MAPK1;PTK2B;FYN;SH2B2;NTRK1;NTRK2;ANGPT2;CHURC1;ANGPT1;NTRK3;PTPN11;BAIAP2;MAPK14;MERTK;SHCBP1;CD4;RAB14;CD7;CLNK;TEK;BCAR1;PTPN2,3.0406195576391735,1
2,GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),285/500,1.2333906995294426e-64,1.96273573318452e-61,0,0,4.846538282135004,713.1956312640314,EPHB6;APP;TP53RK;GMFG;TESK2;RPS6KA4;RPS6KA3;PPP4R1;TBK1;AKT2;AKT3;RPS6KA1;CDK20;KDR;AKT1;PRKACA;EPHB2;PRKACB;EPHB1;PRKCG;EPHA4;PRKCI;EPHA7;MUSK;DAPK1;EPHA8;CSNK2A3;PRKCE;DAPK3;PRKCA;CSNK1E;ATG14;ATG13;PRKAB1;CSNK2B;TYRO3;BTK;SIK3;ULK2;PRKCQ;PRKD2;SIK1;ULK1;PRKD1;SIK2;EPHA1;TRIB2;EPHA3;EPHA10;TXK;PIK3R4;WNK4;PRKCZ;TTBK2;NUAK1;PRDX4;NUAK2;STK38L;CDK17;LYN;PLK4;CDK18;SRMS;PLK2;INSR;PLK1;BRAF;PTK6;EIF2AK4;DCLK1;PTK2;MEX3B;WNK1;WNK2;WNK3;CDK14;CDK16;DDR1;PRKAG1;IKBKB;PPP3CB;FASTK;JAK2;IKBKE;JAK3;JAK1;MAP4K1;RIPK3;SYK;STRADA;STRADB;INSRR;MINK1;HCK;INCENP;KIT;TLR9;PICK1;SGK3;SGK1;SGK2;TLR4;TLR3;DDR2;TLR2;RNASEL;CAB39;PKN3;EGFR;CAMKK2;PAK1;PAK6;MAP4K5;PAK3;PAK2;MAP4K3;MAP4K4;MAP3K3;MAP3K1;CSNK1A1;RYK;DAB2IP;ABI2;ABI3;TAOK1;PKN2;PKN1;CDK5R1;NEK11;MYLK2;PRAG1;MYLK3;IGF1R;STK11;NEK1;NEK2;MAP3K9;NEK3;MAP3K6;STK32A;MAP3K7;ROS1;STK32C;MAP3K5;CDKL2;PDGFRB;PDGFRA;CDKL4;MAP2K1;MORC3;DYRK1A;LMTK3;TNNI3K;CDC25B;ERN1;MELK;MAPKAPK2;TSSK6;MAPKAPK5;TNIK;TSSK2;CSNK1G1;BLK;CSF1R;BRSK2;STK39;CSF2RB;STK4;STK3;STK33;GRK2;GRK5;IRAK1;ATG101;STK36;GRK7;STK38;GRK6;ABL1;MAP3K20;ABL2;MAP3K21;RIPK1;MARK4;MARK3;MARK2;MARK1;UVRAG;NEK6;TNK1;BMX;SMAD7;FER;CDK5;STK24;CDK4;STK25;FES;COPS2;STK26;MAP3K10;COPS8;FGFR4;FGFR3;MAP3K11;FGFR2;MAP3K12;FGFR1;ALK;DYRK4;GSK3B;GSK3A;FLT1;FLT3;MAST3;FLT4;MAST2;LRRK1;TSSK1B;MAST1;PIK3CD;ILK;PKD1;EEF2K;RB1CC1;ERC1;AMH;CHUK;PDPK1;IRAK3;OXSR1;YWHAZ;TGFBR1;FGR;LATS1;TGFBR3;ZAP70;LATS2;PEAK3;LCK;PEAK1;BIRC6;PIK3C3;CAMK2B;BECN1;PRKAA1;LTK;USP15;PRKAA2;ROCK1;ROCK2;SRC;CAMK2A;TTK;AURKC;AURKA;MAPK9;MAPK8;ERBB4;MKNK1;ERBB2;MAPK1;PTK2B;CSK;FYN;MAPK3;NTRK1;NTRK2;CDC42BPG;LIMK2;LIMK1;CDC42BPB;CDC42BPA;MAPK14;MTOR;MAPK12;MAPK13;BCKDK;MAPK10;PINK1;SNRK;RPS6KB1;PTPN6;TAF6;TEK,2.4734446934202485,1
3,GO_Biological_Process_2023,Protein Modification Process (GO:0036211),345/711,4.2495151732553606e-55,5.0717963592802736e-52,0,0,3.4619928675816496,433.4254960489696,EPHB6;APP;TP53RK;GMFG;ARAF;TESK2;NTAQ1;PPP2R2A;UBE2L6;UBE2L3;GOLGA2;RPS6KA4;PPP4R1;TBK1;PPP2R1B;PPP2R1A;AKT2;AKT3;RPS6KA1;CDK20;AKT1;PRKACA;BTRC;EPHB2;PRKACB;EPHB1;PRKCG;EPHA4;PRKCI;EPHA7;DAPK1;EPHA8;CSNK2A3;PRKCE;FBXO2;DAPK3;ATG10;PRKCA;CSNK1E;ATG14;ATG13;PRKAB1;ATG12;CDC34;CSNK2B;BTK;SIK3;PRKCQ;PRKD2;SIK1;ULK1;SIK2;TRIB2;EPHA3;MTMR3;EPHA10;TXK;PIK3R4;WNK4;MTMR4;PRKCZ;EVPL;UGCG;PPP3R1;NUAK1;NUAK2;STK38L;ATG7;ATG5;CDK17;LYN;PLK4;CDK18;YES1;PLK2;INSR;PLK1;BRAF;PTK6;EIF2AK4;DCLK1;PTK2;FAM220A;MEX3B;PPP5C;WNK1;WNK2;WNK3;GALNTL5;F13B;FBXL2;CDK14;CDK16;PTPRT;PTPRU;PTPRR;PTPRO;PRKAG1;PTPRM;PTPRJ;WDR45;PTPRH;TRIOBP;IKBKB;PPP3CA;PPP3CB;PPP3CC;FASTK;JAK2;IKBKE;JAK3;JAK1;MAP4K1;ANXA1;RIPK3;SYK;STRADA;STRADB;MINK1;UCHL3;CTTNBP2NL;HCK;INCENP;PICK1;SGK3;SGK1;SGK2;IVL;RNASEL;PKN3;CAMKK2;PPP2CA;PPP2CB;PAK1;PAK6;MAP4K5;PAK3;LCMT1;PAK2;MAP4K3;MAP4K4;EGLN3;MAP3K1;CSNK1A1;RYK;GNMT;TMEM59;COL3A1;TAOK1;PKN2;PKN1;NEK11;PRAG1;PDCD6;UBE2D2;UBE2D3;F13A1;FBXO22;MYLK3;PPP1CB;STK11;NEK1;NEK2;MAP3K9;NEK3;MAP3K6;SBF1;ROS1;TGM4;MAP3K5;TGM2;CDKL2;CDKL4;MAP2K1;MORC3;FBXW11;DYRK1A;LMTK3;TNNI3K;FBXO11;FBXW2;CDC25B;RBX1;ERN1;MELK;MAPKAPK2;TSSK6;TNIK;PPEF1;PPEF2;TSSK2;BRSK2;UBA7;STK39;DAPP1;CSF2RB;STK4;STK3;GRK2;GRK5;IRAK1;ATG101;STK36;GRK7;STK38;GRK6;ABL1;MAP3K20;ABL2;MAP3K21;MARK4;MARK3;MARK2;MARK1;UBE2F;UVRAG;NEK6;TNK1;BMX;SSH2;SSH1;PTPRE;PTPRB;FER;COPS5;PTPRC;CDK5;STK24;UBLCP1;ATG16L2;CDK4;PTPRA;STK25;ATG16L1;UBE2S;COPS2;STK26;UBA3;TAB1;COPS8;MAP3K11;MAP3K12;FGFR1;UBE2M;GSK3B;GSK3A;MAST2;LRRK1;TSSK1B;MAST1;NGLY1;PTEN;PIK3CD;ILK;PTPN22;DUSP16;DUSP12;PPP6C;PPP2R5E;RB1CC1;SENP8;ILKAP;PPP1R12A;CHUK;PDPK1;PPP2R5B;PPP2R5A;WIPI1;IRAK3;PPP2R5D;OXSR1;PPP2R5C;YWHAZ;TGFBR1;FGR;LATS1;PPM1A;ZAP70;PPM1B;LATS2;PEAK3;CTDSP1;LCK;PEAK1;CTDSP2;ATG4C;ATG4B;PFDN1;BIRC6;PIK3C3;ATG4A;ATG4D;CAMK2B;BECN1;PRKAA1;LTK;PRKAA2;PPM1L;ROCK1;PPM1M;ROCK2;CAMK2A;PPM1H;PDXP;PPM1J;RNF7;AURKC;THBS1;PPM1F;AURKA;MAPK9;MAPK8;TP53INP2;MKNK1;ERBB2;MAPK1;PTK2B;CSK;FYN;MAPK3;NTRK1;PTPN1;PTPN18;USP25;CDC42BPG;LIMK2;LIMK1;PTPN11;PPP2R3B;CDC42BPB;PTPN12;PPP2R3A;CDC42BPA;PTPN13;MTOR;BCKDK;MAPK10;PINK1;SNRK;CTH;MGAT4A;PTPN6;TAF6;PTPN7;PTPN3,2.1056047060724596,1
4,GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),200/319,1.0745620706737687e-54,1.0259918650793144e-51,0,0,6.060331925889944,753.1033994853309,CDC20;PSMD8;PSMD6;CDC23;PSMD7;PSMD4;CDC26;PSMD2;CDC27;PSMD3;FBXO4;FBXO3;PSMD1;FBXO6;BTRC;SKP2;FBXO7;FBXO9;SKP1;FBXO2;YOD1;RNF126;CDC34;KCTD10;KCTD13;RBCK1;KCTD17;CLOCK;ANAPC13;ANAPC15;ANAPC16;NEDD4L;UBE2J2;ANAPC10;ANAPC11;RNF216;SIAH2;SIAH1;FBXL8;NPLOC4;RNF103;CDC16;FBXL3;CALR;FBXL2;FBXL5;FBXL7;FBXL6;UBXN1;FAF1;ZFAND2A;ZFAND2B;KIF14;ANKRD9;TRIM9;UCHL1;TRIM2;TRIM3;UBXN7;UFD1;APC2;SIRT2;CDC20B;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;PSMA7;ECPAS;PSMB6;PSMB7;PSMB4;SH3BGRL;PSMB5;PSMB2;PSMB3;PSMB1;ZSWIM8;PRAME;CRBN;CSNK1A1;SYVN1;WWP1;UBE2G1;UBE2G2;SPSB2;ITCH;PSMC5;KBTBD6;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;CTNNB1;TRIP12;KBTBD7;SPSB4;UBXN2B;UBXN2A;FBXO27;UBE2D3;FBXW4;FBXW5;ANAPC7;FBXW11;UBE4A;KCTD2;UBE4B;KCTD5;TRPC4AP;KLHL42;RBX1;ANAPC4;PLAA;ANAPC5;ANAPC2;PSMD12;VCP;PSMD11;CUL5;PSMD14;KLHL15;PSMD13;CUL3;CUL2;CUL1;RHOBTB3;FBXO45;UBR2;UBR1;FBXO44;HSP90B1;BAG6;ATXN3;SHARPIN;ANKZF1;KLHDC2;AKIRIN2;KLHDC3;SMURF2;SMURF1;UBE2C;KLHDC1;KLHL22;BFAR;FBXO31;KLHL20;NSFL1C;UBE2W;UBXN11;UBE2S;UBE2K;GSK3B;TRIM72;GSK3A;ARRB1;ARRB2;TNFAIP1;TNFSF13B;AXIN1;RAD23A;AXIN2;PPP2R5C;RAD23B;PJA2;SPOPL;MAN1B1;BIRC2;RNF34;AMBRA1;FBXL22;USP19;DNAJB2;FBXL20;ZNRF1;FZR1;HECTD1;UBQLN1;ASCC2;DCAF11;RFFL;DCAF12;UBQLN2;FEM1A;FEM1B;AMFR;FBXL17;FBXL15;FBXL16;FBXL14;PML;FBXL12;APC;STUB1;ASB2,2.720612322961281,1
5,GO_Biological_Process_2023,Phosphorylation (GO:0016310),233/429,7.043975483329266e-48,5.604656492902319e-45,0,0,4.298376732768579,466.6829793138363,EPHB6;APP;PANK2;PANK3;TP53RK;GMFG;TESK2;RPS6KA4;PPP4R1;TBK1;AKT3;RPS6KA1;CDK20;AKT1;PRKACA;EPHB2;PRKACB;EPHB1;PRKCG;EPHA4;PRKCI;EPHA7;DAPK1;EPHA8;CSNK2A3;PRKCE;DAPK3;PRKCA;CSNK1E;ATG14;ATG13;PRKAB1;CSNK2B;BTK;SIK3;PRKCQ;PRKD2;SIK1;ULK1;SIK2;TRIB2;EPHA3;EPHA10;TXK;PIK3R4;WNK4;PRKCZ;NUAK1;NUAK2;STK38L;CDK17;LYN;PLK4;CDK18;PLK2;INSR;PLK1;BRAF;PTK6;EIF2AK4;DCLK1;PTK2;MEX3B;WNK1;TOLLIP;WNK2;WNK3;CDK14;CDK16;PRKAG1;IKBKB;RPTOR;PPP3CB;FASTK;JAK2;IKBKE;JAK3;JAK1;MAP4K1;SYK;STRADA;SPHK1;STRADB;MINK1;HCK;INCENP;PICK1;SGK3;SGK1;SGK2;RNASEL;PKN3;CAMKK2;PAK1;PAK6;MAP4K5;PAK3;PAK2;MAP4K3;MAP4K4;MAP3K1;CSNK1A1;RYK;STAT3;TAOK1;PKN2;PKN1;NEK11;DGKD;PRAG1;DGKA;MYLK3;STK11;NEK1;NEK2;MAP3K9;NEK3;MAP3K6;ROS1;MAP3K5;CDKL2;CDKL4;MAP2K1;MORC3;DYRK1A;LMTK3;TNNI3K;CDC25B;ERN1;MELK;MAPKAPK2;TSSK6;TNIK;TSSK2;BRSK2;STK39;CSF2RB;STK4;STK3;FGGY;GRK2;GRK5;IRAK1;ATG101;STK36;GRK7;STK38;GRK6;ABL1;MAP3K20;MAP3K21;MARK4;MARK3;NADK;MARK2;MARK1;UVRAG;NEK6;TNK2;TNK1;BMX;FER;CDK5;STK24;CDK4;STK25;COPS2;STK26;COPS8;MAP3K11;MAP3K12;FGFR1;ALK;PRR5;GSK3B;GSK3A;MAST2;LRRK1;TSSK1B;MAST1;PIK3CD;ILK;PIK3CB;HK3;RB1CC1;MLST8;CHUK;PDPK1;IRAK3;OXSR1;YWHAZ;TGFBR1;FGR;LATS1;ZAP70;LATS2;PEAK3;PIK3CA;LCK;PEAK1;BIRC6;PIK3C3;CAMK2B;BECN1;PRKAA1;LTK;PRKAA2;ROCK1;ROCK2;CAMK2A;AURKC;AURKA;MAPK9;MAPK8;MKNK1;ERBB2;MAPK1;PTK2B;CSK;FYN;MAPK3;NTRK1;CDC42BPG;LIMK2;LIMK1;CDC42BPB;CDC42BPA;MTOR;BCKDK;MAPK10;PINK1;SNRK;TAF6,2.356817623878125,1
6,GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),149/220,3.630593731097702e-47,2.4760649246086324e-44,0,0,7.5013485166317055,802.1349735210855,UBXN2B;UBXN2A;UBE2D3;PSMD8;PSMD6;PSMD7;PSMD4;PSMD2;PSMD3;PSMD1;BTRC;SKP2;FBXO7;TRIM21;FBXO9;SKP1;FBXW5;FBXW11;KCTD2;UBE4B;KCTD5;KLHL42;RBX1;RNF41;RNF126;CDC34;KCTD10;PSME4;KCTD13;PLAA;RBCK1;KCTD17;CLOCK;BRSK2;PSMD12;VCP;PSMD11;PSMD14;PSMD13;CUL3;CUL1;RHOBTB3;NEDD4L;FBXO45;FBXO44;BAG6;ATXN3;SHARPIN;RNF216;PMAIP1;SOCS6;KLHDC2;KLHDC3;SMURF2;SMURF1;SIAH2;SIAH1;KLHL22;BFAR;NR1D1;KLHL20;NSFL1C;UBE2W;UBXN11;RCAN3;UBE2K;GSK3B;TRIM72;GSK3A;UBXN1;FAF1;ZFAND2A;ZFAND2B;KIF14;ARRB1;ARRB2;TNFAIP1;TNFSF13B;ANKRD9;TRIM9;UCHL1;TRIM2;DDI2;ENC1;TRIM3;DDI1;UBXN7;UBXN6;APC2;AXIN1;RAD23A;AXIN2;PPP2R5C;RAD23B;SIRT2;PJA2;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PELI1;SPOPL;BIRC2;RNF34;AMBRA1;PSMA7;FBXL22;PSMA8;PSMB6;PSMB7;ZNRF1;PSMB4;SH3BGRL;PSMB5;HECTD1;PSMB2;PSMB3;PSMB1;ZSWIM8;PRAME;DCAF11;RFFL;CRBN;CSNK1A1;FEM1B;SYVN1;FBXL17;WWP1;UBE2G1;PML;SPSB2;ITCH;PSMC5;KBTBD6;PSMC6;PSMC3;APC;PSMC4;PSMC1;PSMC2;CTNNB1;TRIP12;STUB1;KBTBD7;ASB2;SPSB4,2.9389414618789234,1
7,GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),263/525,3.0824452454419367e-45,1.8394492002174762e-42,0,0,3.639730013961669,373.0381347777264,APP;TRAF3IP2;IFIT5;IFI35;GJA1;TBK1;LGALS1;TFG;FAM110C;CPNE1;KDR;TNFSF10;PLCE1;TRIM21;MUSK;UNC5B;EPHA8;ARRDC3;PRKD2;PRKD1;RBCK1;ALPK1;TP53;LPAR1;PDGFA;BCL10;IQGAP1;MST1R;TXN;PDGFD;PDGFC;PLCG2;HMOX1;S100A12;FADD;LYN;NDFIP2;WDR59;TNFSF14;PLK2;INSR;SIAH1;LIF;PTK2;PPP5C;TRIP6;REL;CD27;CORO7;FERMT2;CC2D1A;RET;DDR1;CD40;ECM1;HIP1;PTPRJ;LITAF;CX3CL1;BBC3;IKBKB;TRIM8;RPTOR;AKAP13;CASP10;TRIM5;IKBKG;JAK2;IKBKE;MAP4K1;MIOS;RIPK2;SPHK1;RHOA;ADRB3;FSHR;IL1B;GFRAL;KIT;PELI1;TLR9;HCLS1;RAPGEF2;TLR4;TLR3;HBEGF;DDR2;TLR2;PELI2;WDR24;EGFR;RELA;FLNA;BID;MAP3K3;RYK;CARD9;DAB2IP;MIB2;OSM;SEPTIN4;VEGFA;FKBP1A;RIT2;AXL;NEDD4;LAMTOR2;LIMS1;CSF3;NCF1;WWC1;FGF1;TNF;IGF1R;PYCARD;EP300;MAP3K7;TGM2;PDGFRB;PDGFRA;UNC5CL;HGF;MUL1;TICAM1;RUNDC3A;MID2;DOK2;FRMD6;DOK3;DOK4;DOK5;DOK6;ADAM8;ROR1;ROR2;UBE2V1;RAF1;CARD11;JCAD;SHC1;AGER;INAVA;NEUROD2;SHARPIN;IRAK1;UBD;NLRP3;PMAIP1;RIPK1;IGFBP6;CAV2;NEK6;CAV1;TNFRSF10B;GH1;DAB2;MAVS;PTPRC;DLG5;CASS4;CNTN1;UBE2N;TAB3;PLXNB1;TAB2;HPSE;FGFR3;MYD88;FGFR2;FGFR1;BCAR3;ITGB1;FLT1;HSP90AB1;DDX3X;RNF13;FLT3;FLT4;SCHIP1;TRADD;DUSP19;PIK3CD;ILK;FASLG;PIK3CB;ADRA1B;IQCJ-SCHIP1;FLCN;CASP8;NUP62;CASP1;MLST8;ITGAV;AMH;DNM1L;HSP90AA1;TRIM62;CHUK;KSR1;RFPL1;TNFRSF19;RFPL3;TRAF2;IRAK4;TIRAP;TGFBR1;TNFRSF1A;FGR;PPM1A;TRAF7;PTP4A3;PIK3CA;LCK;TRAF6;TRAF5;TRIM58;SMCR8;TNFRSF25;ITGB1BP1;LTB;BIRC2;BIRC3;LTF;CX3CR1;RNF31;BECN1;CANT1;ROCK1;ROCK2;SRC;NOD1;NOD2;CBL;THBS1;MALT1;INS;ERBB3;TIFA;ERBB2;LURAP1;SASH1;SH2B1;NTRK1;NTRK2;TCF7L2;ANGPT1;EGF;NTRK3;CFLAR;S100B;SOD1;PINK1;CD4;TNIP2;BAX;SPRY2;PTPN6;TRIM38;LTBR;TEK;PIK3AP1;TRIM32;TRIM34,2.1738210672331677,1
8,GO_Biological_Process_2023,Protein Ubiquitination (GO:0016567),229/434,2.915704497097651e-44,1.5466192521271315e-41,0,0,4.032939472655801,404.2765028803255,CBLC;KEAP1;UBE2L6;UBE2L3;HERC4;NUB1;RNF115;HERC3;RNF114;FBXO4;BTRC;FBXO7;TRIM21;RNF111;FBXO9;HERC6;SKP1;ATG3;WSB1;ARRDC1;FBXO2;RNF126;RNF125;CDC34;TRIM17;KCTD10;HECW2;HECW1;KCTD13;TRIM14;TRIM15;RBCK1;CBLL1;TRIM10;ANAPC16;MYCBP2;NEDD4L;MEFV;UBE2J2;ANAPC11;RNF213;PLK1;RNF103;FBXL3;FBXL2;FBXL5;DZIP3;FBXL7;DET1;LRSAM1;FBH1;SH3RF1;DDA1;ANKRD9;BABAM2;TRIM5;TRIM2;TRIM3;ENC1;ARIH2;ELOC;ARIH1;EIPR1;UCHL3;DDB1;RNF144A;RNF167;RNF144B;GAN;PDZRN3;RNF166;MARCHF1;PELI2;RNF135;RNF138;ZSWIM8;MARCHF8;MARCHF7;PRAME;MARCHF5;CRBN;USP9X;SYVN1;HUWE1;MIB2;WWP1;KLHL2;KLHL3;UBE2G1;MIB1;KLHL9;SH3RF3;SPSB2;SH3RF2;ITCH;TRIML2;KLHL7;NEDD4;KLHL8;RLIM;CTNNB1;TRIP12;KBTBD8;SPSB4;UBE2D4;UBE3C;UBE2D2;FBXO28;UBE2D3;FBXO25;UBE2D1;UBE3A;UBE3B;FBXO22;RNF43;USP7;AREL1;FBXW5;ANAPC7;USP5;FBXW11;UBE2E1;MUL1;UBE4A;LMO7;UBE4B;FBXO10;FBXO11;TRPC4AP;KLHL41;RBX1;RNF41;KLHL42;UBE2V2;UBE2V1;KLHL18;VCP;CUL5;CUL3;CUL2;CUL1;DTX1;FBXO45;DTX2;KLHL12;UBR1;KLHL13;NEUROD2;VCPIP1;UBB;UBD;NAE1;UBE2H;KLHL25;SMURF2;SMURF1;UBE2C;KLHL22;BFAR;ISG15;KLHL24;FBXO32;BSPRY;KLHL20;CNOT4;UBE2W;UBOX5;UBE2S;BCL2;UBE2N;RNF181;TPP2;MKRN3;UBE2O;UBA1;RNF183;UBE2K;TRIM72;RNF11;RNF13;ARRB1;ARRB2;TNFAIP1;TNFSF13B;RPGR;TRIM69;TRIM64;TRIM62;RFPL1;RFPL3;TRAF2;PJA2;TRAF7;UBE2R2;TRAF6;TRIM58;BIRC6;BIRC7;BIRC2;TRIM55;RNF31;TRIM50;RNF34;RNF38;ASB11;AMBRA1;RNF7;CBL;CAND1;TNKS2;VHL;SASH1;TRIM40;RNF25;AMFR;FBXL17;FBXL15;PINK1;TRIM39;NEURL1;TRIM35;STUB1;TRIM38;ASB5;TRIM31;ASB2;TRIM32;TRIM34;ASB1,2.289671092219407,1
9,GO_Biological_Process_2023,Protein Autophosphorylation (GO:0046777),115/162,8.063927334043018e-40,3.849718909272137e-37,0,0,8.691279427416442,782.354235182756,MYLK2;IGF1R;STK11;KDR;AKT1;NEK2;MAP3K9;EPHB1;PDGFRB;EPHA4;PDGFRA;MAP2K2;MUSK;DAPK1;EPHA8;DAPK3;DYRK1A;ATG13;ERN1;MELK;MAPKAPK2;TYRO3;ULK2;MAPKAPK5;PRKD2;SIK1;ULK1;PRKD1;SIK2;TNIK;EPHA1;TSSK2;CSF1R;TXK;STK39;STK4;STK33;GRK5;IRAK1;ATG101;GRK7;ABL1;MAP3K20;MAP3K21;RIPK1;MARK3;MARK2;LYN;SRMS;INSR;NEK6;TNK1;PTK6;EIF2AK4;BMX;PTK2;FER;MEX3B;STK24;FES;STK25;STK26;WNK2;WNK3;MAP3K10;FGFR4;FGFR3;FGFR2;MAP3K11;FGFR1;MAP3K12;ALK;DDR1;GSK3B;FLT1;FLT3;FLT4;AATK;EEF2K;RB1CC1;JAK2;MAP4K1;RIPK3;PDPK1;INSRR;MINK1;OXSR1;FGR;HCK;LCK;PEAK1;KIT;DDR2;CAMK2B;LTK;SRC;CAMK2A;EGFR;AURKA;CAMKK2;PAK1;ERBB4;MKNK1;ERBB2;PTK2B;FYN;PAK2;MAPK3;NTRK1;MAP3K3;NTRK2;MTOR;PINK1;TAOK1;TEK,3.080421699624525,1
