,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Fold_Enrichment,module
0,KEGG_2021_Human,MAPK signaling pathway,193/294,1.7157302970110533e-57,5.335921223704376e-55,0,0,6.887244378643472,900.2145736975842,ARAF;CRKL;RPS6KA4;RPS6KA3;RPS6KA6;AKT2;MYC;RPS6KA2;AKT3;RPS6KA1;STMN1;KDR;AKT1;PRKACA;PRKACB;PRKCG;DAXX;IL1R1;PRKCA;MAPK8IP2;MAPK8IP3;MAPK8IP1;TP53;EPHA2;PDGFA;PPP3R1;PDGFD;PDGFC;NGFR;INSR;NFATC3;BRAF;NFATC1;PPP5C;GRB2;PTPRR;IKBKB;PPP3CA;PPP3CB;PPP3CC;RAC2;RAC3;IKBKG;RAC1;DUSP4;MAP4K1;DUSP2;DUSP3;DUSP1;DUSP8;DUSP9;DUSP6;MRAS;IL1B;KIT;RAPGEF2;MAPT;EGFR;RELA;NTF4;NRAS;PAK1;NTF3;FLNA;FLNB;FLNC;PAK2;MAP4K3;MAP4K4;MAP3K2;MAP3K3;MAP3K1;VEGFC;VEGFA;KITLG;TAOK1;FAS;HSPA1B;CSF1;IL1RAP;FGF1;TNF;FGF3;FGF4;IGF1R;FGF6;FGF7;FGF8;FGF9;MAP3K8;MAP3K6;MAP3K7;MAP3K4;MAP3K5;MAP2K3;PDGFRB;MAP2K4;PDGFRA;MAP2K1;MAP2K2;HGF;PGF;CDC25B;CACNB2;MAPKAPK2;MAPKAPK5;RAF1;CSF1R;CACNA1B;CACNA1C;CACNA1F;EFNA5;STK4;CACNA1H;STK3;IRAK1;FGF20;MAP3K20;CACNA1S;MAP2K7;FGF23;MAP2K5;FGF21;MAP2K6;HSPA8;BDNF;HSPA2;NFKB2;EFNA1;NR4A1;EFNA2;FGF19;NF1;TAB2;TAB1;FGFR4;FGFR3;FGFR2;MAP3K11;MYD88;FGFR1;MAP3K12;FLT1;FLT3;FLT4;RASGRF2;TRADD;ARRB1;FASLG;ARRB2;DUSP16;DUSP10;CASP3;CHUK;PLA2G4A;TRAF2;IRAK4;NGF;TGFBR1;TNFRSF1A;PPM1A;PPM1B;RASA1;TRAF6;SOS1;CRK;MET;SOS2;INS;CDC42;MAPK9;CACNG8;MAPK8;MAPK7;ERBB3;ERBB4;MKNK1;ERBB2;MAPK1;CACNG2;MAPK3;NTRK1;ANGPT4;NTRK2;ANGPT2;ANGPT1;EGF;MAPK14;MAPK12;MAPK13;MAPK10;PTPN7;TEK,2.848638416458455,1
1,KEGG_2021_Human,Yersinia infection,117/137,9.25662543479419e-56,1.4394052551104964e-53,0,0,20.82551652892562,2638.997493395777,WIPF1;WIPF2;WIPF3;ARPC5L;TNF;ACTB;ACTG1;CRKL;PYCARD;RPS6KA3;RPS6KA6;TBK1;AKT2;RPS6KA2;AKT3;RPS6KA1;AKT1;MAP3K7;MAP2K3;MAP2K4;MAP2K1;MAP2K2;TICAM1;ELMO1;ELMO2;SKAP2;PXN;PIK3R3;PIK3R2;PIK3R1;MEFV;ACTR3B;IRAK1;NLRP3;PIP5K1C;PLCG1;MAP2K7;MAP2K6;FYB1;NFATC3;ARPC4;NFATC1;ARPC5;IL2;PTK2;NFKBIA;ARPC2;ARPC3;GNAQ;TAB2;TAB1;LAT;MYD88;ITGB1;GSK3B;ARPC1B;ARPC1A;PIK3CD;PIK3CB;WASL;IKBKB;CASP1;RAC2;RAC3;IKBKG;RAC1;ACTR3;IL10;VAV3;ACTR2;ARHGEF12;CHUK;ITGA4;TRAF2;IRAK4;RHOA;VAV1;VAV2;ZAP70;IRF3;PIK3CA;LCK;IL1B;TRAF6;ARHGEF1;LCP2;ITGA5;ARHGEF7;CRK;DOCK1;TLR4;ARF6;ROCK1;ROCK2;SRC;WAS;NLRC4;RELA;CDC42;MAPK9;MAPK8;MAPK1;PTK2B;WASF2;MAPK3;GIT2;LIMK1;BAIAP2;MAPK14;MAPK12;MAPK13;MAPK10;CD4;FCGR2A;PKN2;PKN1;BCAR1,3.7058910120395576,1
2,KEGG_2021_Human,Shigellosis,167/246,5.725566317087118e-53,5.935503748713644e-51,0,0,7.583812989822856,912.2725513908624,UBE2D4;UBE2D2;UBE2D3;ARPC5L;UBE2D1;FNBP1L;TNF;ACTB;CRKL;ACTG1;PYCARD;TBK1;AKT2;AKT3;CAPN2;AKT1;PLCE1;CAPN1;BTRC;MAP3K7;SKP1;GABARAPL2;GABARAPL1;FNBP1;IL1R1;FBXW11;ACTN1;PRKCE;ACTN4;ATG14;ATG12;RBX1;ELMO1;UBE2V2;ELMO2;PRKCQ;RBCK1;TLN2;UBE2V1;PFN1;TLN1;TP53;SQSTM1;PPID;VCL;PFN2;PXN;PIK3R4;CUL1;ITPR1;PIK3R3;PIK3R2;BCL10;PIK3R1;ACTR3B;GABARAP;SHARPIN;UBB;UBC;PLCG2;NLRP3;RIPK1;PLCG1;ATG5;GLMN;ARPC4;ARPC5;PTK2;NFKBIA;DIAPH1;ARPC2;ARPC3;ATG16L1;BCL2;UBE2N;TAB3;TAB2;TAB1;TECPR1;MYD88;BCL2L1;NFKBIB;ITGB1;GSK3B;ARF1;GSK3A;CALCOCO2;ARPC1B;TRADD;ARPC1A;ILK;PIK3CD;SEPTIN12;WASL;PIK3CB;SEPTIN11;IKBKB;RPTOR;HK3;CASP4;CASP1;IKBKG;RAC1;ACTR3;ACTR2;CHUK;RIPK2;TRAF2;WIPI1;RHOA;TNFRSF1A;PLCB3;CTTN;IRF3;PIK3CA;IL1B;TRAF6;AKT1S1;TRAF5;HCLS1;PIK3C3;ARHGEF2;ITGA5;PLCB1;PLCB2;TLR4;CRK;DOCK1;CD44;ARF6;RNF31;BECN1;ROCK1;ROCK2;SRC;NOD1;NLRC4;EGFR;RELA;MALT1;CDC42;CYTH3;CYTH2;MAPK9;MAPK8;CYTH4;TIFA;MAPK1;WASF1;WASF2;CYTH1;MAPK3;SEPTIN2;SEPTIN6;SEPTIN9;MAPK14;SEPTIN7;MAPK12;MTOR;SEPTIN8;MAPK13;MAPK10;STING1;RPS6KB1;TNIP1;BAX;BCAR1,2.945836997583665,1
3,KEGG_2021_Human,Rap1 signaling pathway,145/210,1.563805346046428e-47,1.2158586565510977e-45,0,0,7.969536470922793,858.9118296896686,CSF1;CTNND1;ITGA2B;CALML3;FGF1;ACTB;FGF3;CRKL;ACTG1;FGF4;IGF1R;FGF6;FGF7;FGF8;FGF9;CDH1;AKT2;RASSF5;AKT3;KDR;AKT1;PLCE1;PRKCG;MAGI1;MAP2K3;PDGFRB;PDGFRA;PRKCI;MAP2K1;MAP2K2;HGF;MAGI3;PRKCA;PGF;TIAM1;PRKD3;PARD3;PRKD2;PRKD1;TLN2;PFN1;TLN1;RAF1;SKAP1;EPHA2;PFN2;CSF1R;LPAR1;LPAR2;PDGFA;PIK3R3;PIK3R2;PIK3R1;EFNA5;PRKCZ;RAP1GAP;PDGFD;PDGFC;FGF20;PLCG1;FGF23;FGF21;MAP2K6;VASP;NGFR;FYB1;INSR;BRAF;EFNA1;AFDN;EFNA2;LPAR5;FGF19;GNAQ;CALM3;CALM1;FGFR4;FGFR3;FGFR2;LAT;FGFR1;ITGB1;DOCK4;FLT1;FLT4;ITGB3;ITGB2;PIK3CD;PIK3CB;SIPA1L2;ITGAL;SIPA1L1;RAC2;RAC3;RAC1;VAV3;ARAP3;NGF;RHOA;VAV1;VAV2;APBB1IP;ENAH;PLCB3;MRAS;PIK3CA;KIT;RAPGEF1;RAPGEF2;EVL;LCP2;PLCB1;RAPGEF5;PLCB2;RAPGEF6;CRK;MET;RAPGEF4;SRC;PARD6G;ADCY2;ADCY8;THBS1;EGFR;INS;CDC42;NRAS;PARD6B;PARD6A;KRIT1;MAPK1;MAPK3;ANGPT4;ANGPT2;ANGPT1;EGF;VEGFC;MAPK14;MAPK12;VEGFA;MAPK13;KITLG;CTNNB1;TEK;BCAR1,2.9962362618708105,1
4,KEGG_2021_Human,Salmonella infection,160/249,5.630214845895671e-46,3.501993634147108e-44,0,0,6.434896328580695,670.4567819515233,CYFIP2;CYFIP1;NCKAP1;FHOD1;ARPC5L;FBXO22;TNF;ACTB;ACTG1;TXN2;PYCARD;TUBB8;KIF5C;AKT2;MYC;KIF5B;AKT3;KIF5A;TNFSF10;AKT1;MAP3K7;SKP1;MAP2K3;MAP2K4;MAP2K1;MAP2K2;DYNC1LI2;ELMO1;ELMO2;PFN1;RAF1;PFN2;ARHGEF26;TCF7;LY96;TXN;KLC1;ACTR3B;HSP90B1;DYNC2LI1;KLC4;KLC3;KLC2;IRAK1;MYO6;NLRP3;NCKAP1L;SNX9;RIPK1;FADD;MAP2K7;S100A10;MAP2K6;GSDMD;TNFRSF10B;ARPC4;TNFRSF10A;ARPC5;NFKBIA;PTPRC;ARPC2;ARPC3;BCL2;TAB3;DYNLRB2;TAB2;DYNLRB1;TAB1;MYD88;ARF1;HSP90AB1;ARPC1B;TRADD;ARPC1A;BRK1;PIK3CD;WASL;PIK3CB;PIK3C2B;IKBKB;CASP7;ACTR1B;TUBA1A;CASP8;CASP3;CASP4;CASP1;IKBKG;RAC1;ACTR3;ACTR2;HSP90AA1;RIPK3;CHUK;DYNLT1;EXOC7;RIPK2;DYNLT3;RHOH;TRAF2;IRAK4;DYNLL1;DYNLL2;RHOA;TIRAP;DNM2;TNFRSF1A;PIK3CA;IL1B;TRAF6;RHOJ;TLR9;PIK3C3;TLR4;BIRC2;ARF6;TLR2;BIRC3;DCTN6;DYNC1I2;DCTN5;DCTN2;DCTN1;ROCK2;DCTN4;DCTN3;LEF1;NOD1;SNX33;NLRC4;RELA;CDC42;CYTH3;TUBA3E;CYTH2;MAPK9;PAK1;MAPK8;CYTH4;FLNA;MAPK1;FLNB;FLNC;BAK1;PAK3;DYNC1I1;CYTH1;WASF3;MAPK3;TCF7L2;MAPK14;MAPK12;MAPK13;MAPK10;SNX18;ABI1;CTNNB1;BAX;PKN1;ACTR10,2.7883544771876263,1
5,KEGG_2021_Human,Regulation of actin cytoskeleton,146/218,2.5493614925020306e-45,1.3214190402802192e-43,0,0,7.24273296869784,743.6873430193803,CYFIP2;CYFIP1;NCKAP1;MYLK2;CHRM5;ITGA2B;ARAF;ARPC5L;FGF1;ACTB;FGF3;MYLK3;CRKL;MYLK;ACTG1;FGF4;MYLK4;PPP1CB;FGF6;FGF7;FGF8;FGF9;CFL2;CFL1;PIP4K2B;PDGFRB;PDGFRA;MAP2K1;MAP2K2;ACTN1;ACTN4;TIAM1;SPATA13;EZR;PFN1;RAF1;VCL;PFN2;PXN;LPAR1;LPAR2;PDGFA;PIK3R3;PIK3R2;IQGAP1;PIK3R1;IQGAP2;ACTR3B;SLC9A1;PDGFD;PDGFC;FGF20;NCKAP1L;PIP5K1C;FGF23;MYH10;FGF21;RDX;MSN;BRAF;ARPC4;ARPC5;SSH2;PTK2;SSH1;DIAPH1;DIAPH2;LPAR5;ARPC2;ARPC3;FGF19;FGFR4;FGFR3;FGFR2;FGFR1;ITGB1;ITGB5;ARPC1B;ITGB3;ARPC1A;ITGB2;BRK1;PIK3CD;WASL;PIK3CB;ITGAL;TMSB4X;RAC2;RAC3;ITGAV;ITGB7;RAC1;GIT1;APC2;VAV3;ACTR3;ACTR2;ARHGEF12;PPP1R12A;ITGA4;INSRR;RHOA;VAV1;VAV2;ENAH;MRAS;ITGAD;PIK3CA;ARHGEF4;MYH9;ARHGEF1;ITGA5;ARHGEF7;PPP1R12B;SOS1;CRK;DOCK1;PPP1R12C;SOS2;ARHGEF6;ROCK1;ROCK2;SRC;EGFR;FGD1;INS;CDC42;GNA13;NRAS;PAK1;PAK6;MAPK1;PAK3;WASF1;PAK2;WASF2;PAK5;MAPK3;GSN;EGF;LIMK2;LIMK1;BAIAP2;ABI2;APC;BCAR1,2.906188035082539,1
6,KEGG_2021_Human,Neurotrophin signaling pathway,97/119,8.299705509950685e-43,3.687440590849519e-41,0,0,15.622247382416486,1513.7167066200584,IRS1;CALML3;CRKL;RPS6KA3;RPS6KA6;AKT2;RPS6KA2;AKT3;ARHGDIB;RPS6KA1;AKT1;MAP3K5;MAP2K1;MAP2K2;MATK;FRS2;MAPKAPK2;RAF1;TP53;SHC4;BEX3;SHC2;SHC3;MAGED1;SHC1;PSEN2;PIK3R3;PIK3R2;PIK3R1;PSEN1;IRAK1;IRAK2;ABL1;PLCG2;PLCG1;MAP2K7;MAP2K5;NGFR;BDNF;BRAF;NFKBIA;BCL2;CALM3;GRB2;CALM1;NFKBIE;NFKBIB;TP73;YWHAE;GSK3B;PIK3CD;FASLG;PIK3CB;IKBKB;RAC1;PDPK1;RIPK2;GAB1;IRAK3;IRAK4;NGF;RHOA;PIK3CA;TRAF6;RAPGEF1;SOS1;CRK;SOS2;CAMK2B;CAMK2A;RELA;CDC42;NTF4;MAPK9;MAPK8;NRAS;MAPK7;NTF3;MAPK1;CAMK2G;SH2B3;SH2B2;MAPK3;SH2B1;NTRK1;MAP3K3;NTRK2;MAP3K1;BAD;SORT1;NTRK3;PTPN11;MAPK14;MAPK12;MAPK13;MAPK10;BAX,3.5371389541760885,1
7,KEGG_2021_Human,T cell receptor signaling pathway,84/104,1.1754182743537096e-36,4.5694385415500463e-35,0,0,14.839234449760763,1227.6712239216251,GSK3B;ITK;PIK3CD;CBLB;PIK3CB;CD3E;TNF;IKBKB;PPP3CA;PPP3CB;PPP3CC;AKT2;GRAP2;AKT3;NCK2;AKT1;MAP3K8;IKBKG;MAP3K7;NCK1;IL10;VAV3;MAP2K1;MAP2K2;CHUK;PDPK1;RHOA;VAV1;VAV2;ZAP70;PIK3CA;LCK;PRKCQ;LCP2;RAF1;SOS1;SOS2;CARD11;PIK3R3;PIK3R2;BCL10;PIK3R1;MALT1;RELA;CDC42;MAPK9;PPP3R1;MAPK8;NRAS;PAK1;MAPK1;PAK6;FYN;PLCG1;ICOS;MAP2K7;PAK3;PAK2;PAK5;MAPK3;NFATC3;NFATC1;MAPK14;IL2;MAPK12;MAPK13;IL4;NFKBIA;MAPK10;DLG1;CD4;IL5;PTPRC;CD40LG;TEC;CDK4;CD28;GRB2;PTPN6;CD247;PDCD1;NFKBIE;LAT;NFKBIB,3.504881144522619,1
8,KEGG_2021_Human,PI3K-Akt signaling pathway,187/354,2.192363241023484e-36,7.575832977314483e-35,0,0,4.012954026617787,329.49596341747974,CRTC2;CSF3;CSF3R;CSF1;IRS1;ITGA2B;PPP2R2A;FGF1;FGF3;FGF4;IGF1R;FGF6;TCL1A;CCND3;FGF7;STK11;FGF8;PPP2R1B;FGF9;PPP2R1A;AKT2;MYC;AKT3;KDR;AKT1;IFNAR2;MAGI1;PDGFRB;PDGFRA;MAP2K1;IL4R;MAP2K2;HGF;TSC2;PRKCA;TSC1;PRLR;PGF;CDC37;DDIT4;COL4A3;MTCP1;RAF1;TP53;EPHA2;IFNAR1;CSF1R;LPAR1;LPAR2;PDGFA;PIK3R3;PIK3R2;PIK3R1;EFNA5;HSP90B1;BCL2L11;CD19;PDGFD;PDGFC;EIF4EBP1;FGF20;FGF23;FGF21;MCL1;NGFR;BDNF;INSR;PTK2;IL2;COL1A1;EFNA1;IL4;GH1;NR4A1;EFNA2;LPAR5;CDK4;IL7;RHEB;FGF19;GNB2;BCL2;GRB2;FGFR4;FGFR3;FGFR2;BCL2L1;FGFR1;ITGB1;YWHAE;GSK3B;FLT1;HSP90AB1;ITGB5;FLT3;LAMC3;YWHAB;FLT4;ITGB3;PTEN;PIK3CD;FASLG;PIK3CB;IKBKB;RPTOR;CASP9;GHR;GYS1;YWHAQ;PPP2R5E;MLST8;ITGAV;ITGB7;IKBKG;RAC1;JAK2;JAK3;YWHAG;JAK1;YWHAH;HSP90AA1;SYK;CHUK;ITGA4;PDPK1;PPP2R5B;PPP2R5A;PPP2R5D;PPP2R5C;NGF;YWHAZ;PIK3CA;KIT;SGK3;ITGA5;SGK1;SOS1;SGK2;TLR4;MET;SOS2;TLR2;PHLPP2;PRKAA1;PHLPP1;PRKAA2;PKN3;IL2RG;THBS1;EGFR;RELA;INS;NTF4;PPP2CA;PPP2CB;NRAS;ERBB3;ERBB4;PPP2R3C;NTF3;ERBB2;MAPK1;MAPK3;NTRK1;ANGPT4;NTRK2;ANGPT2;ANGPT1;BAD;EGF;NOS3;OSM;VEGFC;PPP2R3B;PPP2R3A;EPOR;MTOR;VEGFA;KITLG;PPP2R2C;RPS6KB1;IL2RB;PPP2R2D;PKN2;PKN1;TEK;PIK3AP1,2.292269589005781,1
9,KEGG_2021_Human,Bacterial invasion of epithelial cells,69/77,2.5736133029197226e-36,8.003937372080336e-35,0,0,30.393136920980925,2490.6492615479347,ITGB1;ARPC1B;ARPC1A;CLTC;ARPC5L;CLTA;ILK;PIK3CD;SEPTIN12;PIK3CB;WASL;ACTB;SEPTIN11;ACTG1;CRKL;CDH1;RAC1;ACTR3;ACTR2;GAB1;DNM1;RHOA;CD2AP;DNM2;DNM3;ARHGAP10;CTTN;PIK3CA;ELMO1;ELMO2;HCLS1;ELMO3;ITGA5;CRK;DOCK1;MET;VCL;SHC4;SHC2;SHC3;ARHGEF26;SHC1;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;CBL;ACTR3B;CDC42;CTNNA1;CTNNA3;CTNNA2;WASF1;WASF2;SEPTIN1;CAV2;SEPTIN2;CAV1;SEPTIN6;ARPC4;ARPC5;SEPTIN9;PTK2;SEPTIN8;ARPC2;ARPC3;CTNNB1;BCAR1,3.888532327318231,1
