T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
APOC3,-0.000188226,0.999851514,0.999851514,0.999957786,6.44914E-05,-6.09037E-05
MDH2,-0.000278076,0.999780633,0.999851514,0.999923432,9.52801E-05,-0.000110468
ARRDC1,-0.00128673,0.998984935,0.999851514,0.999620351,0.000441061,-0.000547822
NAP1L1,0.009604382,0.992423493,0.994353026,1.002214629,0.003302964,0.003191502
PRG4,-0.009773973,0.992289714,0.994353026,0.998155624,0.00336151,-0.002663329
ADH1B,0.013156715,0.989621348,0.992832319,1.001625676,0.004530945,0.00234345
COL1A2,0.015150526,0.988048651,0.991898191,1.004813555,0.005221671,0.006927831
AP2B1,-0.015333594,0.987904252,0.991898191,0.995591682,0.005285146,-0.006373918
VPS35,0.01801809,0.985786836,0.990914465,1.004672067,0.006216986,0.006724671
NCSTN,-0.018045971,0.985764845,0.990914465,0.998319174,0.006226674,-0.002426959
RPL7A,-0.021812735,0.982793968,0.989192367,0.992959645,0.007537518,-0.010193009
RRAGC,0.035877987,0.971703204,0.979304533,1.007760038,0.012466365,0.011152153
CCT8,0.037559847,0.970377367,0.978606268,1.010905535,0.013059342,0.01564819
GNG5,0.040665885,0.967929059,0.976774364,1.009020954,0.014156471,0.012956134
PSMB6,-0.041434765,0.967323046,0.976774364,0.987421997,0.014428465,-0.01826131
ACTR3,0.041756057,0.967069816,0.976774364,1.005007378,0.014542171,0.007206092
SRC,-0.049468374,0.960992413,0.97167709,0.987242356,0.017280041,-0.018523803
MTPN,0.051356646,0.959504785,0.970807852,1.014907216,0.017952855,0.021347841
B2M,0.052142265,0.9588859,0.970807852,1.007446435,0.018233068,0.010703133
FARP1,0.056557085,0.955408547,0.967930285,1.01973452,0.019810878,0.028193606
PRPS1,0.059730141,0.952909833,0.96603187,1.01270128,0.020948192,0.018208681
GM2A,-0.064043556,0.949513907,0.963220801,0.99129421,0.02249867,-0.012614791
PICALM,-0.070044728,0.944790867,0.959058884,0.979123677,0.024664314,-0.030436991
RAB31,-0.076682474,0.939569254,0.954385063,0.981455726,0.027071204,-0.027004907
VPS37C,-0.080733638,0.936383737,0.95177466,0.976673207,0.028546138,-0.034052175
LAMP2,-0.088048325,0.930634836,0.94655359,0.985580505,0.031220695,-0.020954376
SAR1A,-0.089186955,0.929740282,0.946266278,0.987764569,0.031638352,-0.017760875
CTSF,-0.089766511,0.929284995,0.946266278,0.97413421,0.031851075,-0.037807543
SGCE,-0.09048963,0.928716963,0.946266278,0.9774097,0.032116622,-0.032964673
SIGLEC1,-0.098033764,0.922793193,0.941054272,0.966279908,0.034895618,-0.049486931
COLGALT1,0.101664723,0.919943718,0.938767649,1.034658908,0.036238742,0.049155239
USP5,0.107114032,0.915669327,0.935022972,1.031583646,0.038261333,0.044860806
