T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,,,,
TPM2,-8.101407856,2.00E-05,0.015469941,0.428022241,4.698690843,-1.22424233,,,,,,
NT5E,-7.51566795,3.63E-05,0.016362196,0.550204448,4.439784866,-0.861960292,,,,,,
CD47,-7.370610479,4.23E-05,0.016362196,0.490505001,4.373307897,-1.027660251,,,,,,
OCC1,-5.832172523,0.00024924,0.033769026,0.36974957,3.603381535,-1.435379624,,,,,,
NEGR1,-5.791925928,0.000262114,0.033769026,0.215155596,3.581509714,-2.216547728,,,,,,
ITGA1,-5.725780898,0.000284867,0.033877272,0.2995585,3.545357709,-1.739090323,,,,,,
LRP1,-5.014367495,0.000724629,0.04381293,0.432928179,3.139884404,-1.207800388,,,,,,
ITGAV,-4.99737036,0.000741625,0.04381293,0.529381484,3.129815464,-0.917620361,,,,,,
PLXDC2,-4.966279263,0.000773837,0.04381293,0.387872553,3.111350536,-1.366345406,,,,,,
AOC3,-4.861648586,0.00089379,0.04381293,0.283993474,3.048764528,-1.816070318,,,,,,
DYNC1H1,-4.783259393,0.000996728,0.04381293,0.507271361,3.001423276,-0.979170382,,,,,,
SERPINB6,-4.721327282,0.00108706,0.04381293,0.433522878,2.963746554,-1.205819964,,,,,,
CACNA2D1,-4.710414139,0.001103869,0.04381293,0.420809674,2.95708237,-1.248760223,,,,,,
CAV1,-4.698220551,0.001122982,0.04381293,0.320380777,2.94962737,-1.642140508,,,,,,
ISLR,-4.691553422,0.001133582,0.04381293,0.320116633,2.9455472,-1.643330455,,,,,,
SGCD,-4.645870244,0.001209165,0.043817598,0.256016982,2.917514285,-1.965688586,,,,,,
ESD,-4.566711068,0.001353235,0.044724419,0.664006255,2.868626933,-0.590731263,,,,,,
GNAQ,-4.563389484,0.001359669,0.044724419,0.495717411,2.866566926,-1.012410164,,,,,,
BST1,-4.494725428,0.001500285,0.046092774,0.564215776,2.823826302,-0.82568109,,,,,,
CDH13,-4.472744353,0.001548527,0.046092774,0.465695752,2.810081144,-1.102540374,,,,,,
COL16A1,-4.42805772,0.001651794,0.046092774,0.381425381,2.782044025,-1.390527248,,,,,,
MCAM,-4.384528809,0.001759492,0.046092774,0.362122497,2.754612621,-1.465450287,,,,,,
CD59,-4.345053638,0.001863661,0.046092774,0.563375873,2.729633126,-0.827830315,,,,,,
LNPEP,-4.336894269,0.001886002,0.046092774,0.48491599,2.724457799,-1.044193268,,,,,,
ALCAM,-4.326640351,0.001914485,0.046092774,0.4115843,2.717948042,-1.280740142,,,,,,
ENPEP,-4.308769563,0.001965228,0.046092774,0.476038127,2.706586985,-1.070850968,,,,,,
GYG1,-4.204617586,0.002290979,0.047862882,0.154913859,2.639978922,-2.690461874,,,,,,
FHL1,-4.189923206,0.002341384,0.048263724,0.515195228,2.6305274,-0.956808865,,,,,,
ITGB1,-4.180269754,0.002375139,0.048315325,0.424712874,2.624310994,-1.235440254,,,,,,
CNN2,-4.132606928,0.002549563,0.049306817,0.440774228,2.593534269,-1.181888223,,,,,,
SSPN,-4.113673969,0.002622586,0.049316517,0.260082209,2.58127032,-1.942960382,,,,,,
PVR,-4.093543823,0.00270267,0.049316517,0.246843485,2.568206904,-2.018331528,,,,,neg,pos
BCAM,-4.079287058,0.002760959,0.049316517,0.337354828,2.558940096,-1.567661285,,,,p<0.1,226,177
DAG1,-4.068214385,0.00280715,0.049316517,0.301129854,2.551734418,-1.731542349,,,,q<0.05,27,53
EPDR1,-4.006232479,0.003081327,0.050698365,0.36427605,2.511262194,-1.456895947,,,,,,
SORT1,-4.005965983,0.003082566,0.050698365,0.168299484,2.511087682,-2.570897341,,,,,,
CTSS,-3.969134882,0.003258904,0.052481941,0.349115798,2.486928367,-1.518222451,,,,,,
