T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
EPX,8.333013989,2.47E-06,0.002898804,3.264593987,5.607210901,1.706903577,,,
FBP1,7.501228721,7.22E-06,0.002898804,4.655124835,5.141355346,2.218819857,,,
CSTB,6.447405514,3.17E-05,0.003862005,1.875687521,4.49860172,0.907419503,,,
IL4I1,6.173358103,4.77E-05,0.004342116,8.268149681,4.321059099,3.047564507,,,
PLG,5.953152896,6.68E-05,0.004490859,2.249673698,4.175152233,1.169715762,,,
HBD,5.679161707,0.000102445,0.005249667,4.084406824,3.989510208,2.030126572,,,
HBA1,5.584281918,0.000119081,0.005259972,3.341956266,3.924157985,1.740692854,,,
LPL,5.562784968,0.000123233,0.005292152,5.896535787,3.909274648,2.55986762,,,
CEMIP,5.5062588,0.000134895,0.005301423,10.71130939,3.870004096,3.421062946,,,
FABP5,5.410391334,0.000157415,0.005593954,7.155537136,3.80295516,2.839060068,,,
SQOR,5.40691844,0.000158301,0.005593954,2.250645181,3.8005157,1.170338631,,,
HBB,5.281023698,0.000194273,0.005630483,3.212697354,3.711586441,1.683785081,,,
C3,5.267113088,0.000198746,0.005630483,2.222762986,3.701700997,1.152354121,,,
APOH,5.243567105,0.000206566,0.005630483,2.337268303,3.684941422,1.224823356,,,
PROS1,5.239146974,0.00020807,0.005630483,2.332768906,3.681791498,1.222043395,,,
PGLYRP2,5.229816126,0.000211282,0.005630483,4.581061874,3.675138142,2.195682049,,,
KLKB1,5.178061832,0.000230071,0.005633792,4.418634815,3.638138753,2.143600702,,,
TTYH3,5.169081661,0.000233506,0.005633792,9.314589545,3.63170224,3.219492197,,,
RAN,5.166356806,0.000234559,0.005633792,4.813332081,3.629748241,2.267035961,,,
VTN,5.134419605,0.000247279,0.005633792,2.438367759,3.606812494,1.285915732,,,
SFRP2,5.1340915,0.000247414,0.005633792,3.808144847,3.606576545,1.929088354,,,
EEF2,5.112692718,0.000256346,0.005633792,2.079857003,3.591174038,1.056484342,,,
CA2,5.097346527,0.00026296,0.005633792,3.656479478,3.580111061,1.870455265,,,
RACK1,5.067587182,0.000276301,0.005633792,3.367616973,3.558617257,1.751728058,,,
ITGAM,5.066930697,0.000276603,0.005633792,2.659929558,3.558142507,1.41138804,,,
LAP3,5.05514355,0.000282089,0.005633792,1.679276376,3.549613982,0.747839689,,,
MGLL,5.048872555,0.000285054,0.005633792,3.998394003,3.545073234,1.999420643,,,
F2,5.045932358,0.000286455,0.005633792,2.141137176,3.54294346,1.098377228,,,
ITIH4,5.045254008,0.000286779,0.005633792,2.535778626,3.542452014,1.342428803,,,
PRDX2,4.995085126,0.000311868,0.005633792,1.469490013,3.506029484,0.555315554,,,
FTL,4.991392022,0.000313803,0.005633792,4.272381744,3.503342338,2.09504056,,,
FTH1,4.9784594,0.000320682,0.005633792,2.910536114,3.493925983,1.541284919,,,
C1R,4.950700206,0.000335985,0.005717634,5.479787396,3.473680554,2.454119921,,,
SERPINA4,4.941660359,0.000341132,0.005732499,3.248822042,3.46707767,1.69991672,,,
FERMT3,4.913453737,0.000357731,0.005785432,7.505479285,3.446443755,2.907944202,,,
TYMP,4.90072433,0.000365497,0.005785432,4.704875701,3.437116381,2.234156609,,,
CORO1A,4.887628705,0.000373671,0.005785432,3.91934358,3.427510648,1.970612049,,,
ARPC2,4.881789628,0.000377377,0.005785432,1.361248898,3.423224374,0.444930881,,,
PTGDS,4.871486572,0.000384011,0.005785432,2.892986585,3.415656326,1.532559633,,,
C4BPA,4.851392357,0.000397303,0.005785432,3.339104911,3.400878222,1.739461422,,,
C5,4.833788488,0.000409344,0.005805918,2.678153959,3.387912082,1.421238899,,,
IGHV3-74,4.819910852,0.000419105,0.005885757,4.115177301,3.377677669,2.04095459,,,
