Term,Asymptomatic,Symptomatic
AGE-RAGE signaling pathway in diabetic complications,1,3.3447769497165822
AMPK signaling pathway,1,2.185669581962609
Acute myeloid leukemia,1,2.9307363102401234
Adherens junction,1,2.793358045697618
Adipocytokine signaling pathway,1,2.132280843420153
African trypanosomiasis,1,2.0548840795936503
Aldosterone-regulated sodium reabsorption,1,1.986387943607195
Alzheimer disease,1,2.001291175767163
Amoebiasis,1,2.4002187651920273
Amphetamine addiction,1,1.9099884073146105
Amyotrophic lateral sclerosis,1,1.4172667602102615
Apelin signaling pathway,1,1.8164609513812109
Apoptosis,1,2.8530775341783556
Arrhythmogenic right ventricular cardiomyopathy,1,2.135901014631392
Autophagy,1,2.4896062226543507
Axon guidance,1,1.4713984767460704
B cell receptor signaling pathway,1,2.4593374539898605
Bacterial invasion of epithelial cells,1,2.5864426349052017
Basal cell carcinoma,1,1.8452784175585963
Basal transcription factors,1,2.090934677481258
Bladder cancer,1,3.807243558580457
Breast cancer,1,2.706513986423429
C-type lectin receptor signaling pathway,1,2.420687816582245
Carbohydrate digestion and absorption,1,2.2070977151191054
Cell cycle,1,2.8862047043865227
Cellular senescence,1,3.038538635198221
Central carbon metabolism in cancer,1,2.8968157510938264
Chagas disease,1,2.806852529010167
Chemical carcinogenesis,1,2.0284886514678484
Chemokine signaling pathway,1,1.8251000336561833
Choline metabolism in cancer,1,1.9706229599277727
Cholinergic synapse,1,1.6358488947353371
Chronic myeloid leukemia,1,3.355997895592065
Colorectal cancer,1,3.7494069618288415
Coronavirus disease,1,1.9723000858511157
Cushing syndrome,1,1.9061298448755912
Diabetic cardiomyopathy,1,2.1935572383392334
Dilated cardiomyopathy,1,1.6326476248826263
Dopaminergic synapse,1,1.6089123530774787
Endocytosis,1,1.6257639419404124
Endometrial cancer,1,3.4332631124074973
Epithelial cell signaling in Helicobacter pylori infection,1,2.9307363102401234
Epstein-Barr virus infection,1,2.325335092714772
ErbB signaling pathway,1,2.6975638740344623
Estrogen signaling pathway,1,2.227724796568817
Fanconi anemia pathway,1,1.7764445024129383
Fc epsilon RI signaling pathway,1,2.3973647595259253
Fc gamma R-mediated phagocytosis,1,1.6553232863393292
Ferroptosis,1,1.6105848191409688
Fluid shear stress and atherosclerosis,1,2.242696065362962
Focal adhesion,1,2.1944857281755676
FoxO signaling pathway,1,2.8862047043865227
Gap junction,1,1.67739426349052
Gastric cancer,1,2.7956571058175337
Glioma,1,2.974783876899664
Glucagon signaling pathway,1,2.025336726815179
GnRH secretion,1,1.687780605679316
GnRH signaling pathway,1,1.820855614973262
