Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Signaling pathways regulating pluripotency of stem cells,6/143,0.0011389273103586,0.2220908255199389,0,0,5.495374029476033,37.24582299026992,MAP2K1;PCGF5;COMMD3-BMI1;IL6ST;BMI1;ACVR2B,KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection,6/193,0.0050815476379255,0.3479957215389508,0,0,4.015804353009298,21.21203843850686,MAP2K4;MAP2K1;CREB1;PLCG1;IL6ST;CALM2,KEGG_2021_Human
Prostate cancer,4/97,0.0081925651106475,0.3479957215389508,0,0,5.340907553932508,25.660541115785698,MAP2K1;HSP90AA1;CREB1;ZEB1,KEGG_2021_Human
MicroRNAs in cancer,7/310,0.0137706783897076,0.3479957215389508,0,0,2.892823897774393,12.396368603293396,MAP2K1;ZEB1;DDIT4;COMMD3-BMI1;PLCG1;EFNA5;BMI1,KEGG_2021_Human
"Growth hormone synthesis, secretion and action",4/119,0.0163754450539599,0.3479957215389508,0,0,4.314356029532403,17.74051256758566,MAP2K4;MAP2K1;CREB1;PLCG1,KEGG_2021_Human
Long-term potentiation,3/67,0.0174007300449563,0.3479957215389508,0,0,5.79287109375,23.468329146426388,GRM5;MAP2K1;CALM2,KEGG_2021_Human
Fc epsilon RI signaling pathway,3/68,0.0180972749850911,0.3479957215389508,0,0,5.703461538461538,22.88225293173164,MAP2K4;MAP2K1;PLCG1,KEGG_2021_Human
Renin secretion,3/69,0.0188091666207883,0.3479957215389508,0,0,5.616761363636364,22.317701059559106,CREB1;PRKG2;CALM2,KEGG_2021_Human
Glioma,3/75,0.0234035681156436,0.3479957215389508,0,0,5.147135416666667,19.326807812232037,MAP2K1;PLCG1;CALM2,KEGG_2021_Human
Antigen processing and presentation,3/78,0.0259086178777681,0.3479957215389508,0,0,4.9405,18.04853395721196,HSP90AA1;CREB1;KLRC3,KEGG_2021_Human
Estrogen signaling pathway,4/137,0.0259112837397414,0.3479957215389508,0,0,3.727053482763512,13.615212384846323,MAP2K1;HSP90AA1;CREB1;CALM2,KEGG_2021_Human
Fluid shear stress and atherosclerosis,4/139,0.0271387568259863,0.3479957215389508,0,0,3.671465175867692,13.242212809180868,MAP2K4;HSP90AA1;CALM2;ACVR2B,KEGG_2021_Human
Ubiquitin mediated proteolysis,4/140,0.0277653474805648,0.3479957215389508,0,0,3.644284128745838,13.060992340719343,DDB1;FBXW7;UBE2D1;TRIM37,KEGG_2021_Human
Rap1 signaling pathway,5/210,0.0289783238910659,0.3479957215389508,0,0,3.030564989194196,10.73185850073493,MAP2K1;P2RY1;PLCG1;EFNA5;CALM2,KEGG_2021_Human
Human immunodeficiency virus 1 infection,5/212,0.0300142211621905,0.3479957215389508,0,0,3.0009784137467133,10.521682313457756,DDB1;MAP2K1;CCNB1;PLCG1;CALM2,KEGG_2021_Human
Lipid and atherosclerosis,5/215,0.0316114357457202,0.3479957215389508,0,0,2.957655213984328,10.216440101130106,MAP2K4;HSP90AA1;POU2F1;PLCG1;CALM2,KEGG_2021_Human
ErbB signaling pathway,3/85,0.0322906683837141,0.3479957215389508,0,0,4.517149390243903,15.507269939791536,MAP2K4;MAP2K1;PLCG1,KEGG_2021_Human
Gap junction,3/88,0.0352543302023286,0.3479957215389508,0,0,4.357058823529412,14.575089021650712,GRM5;MAP2K1;PRKG2,KEGG_2021_Human
GnRH signaling pathway,3/93,0.0404947086740918,0.3479957215389508,0,0,4.113958333333334,13.191752817875694,MAP2K4;MAP2K1;CALM2,KEGG_2021_Human
Thermogenesis,5/232,0.0416625232031824,0.3479957215389508,0,0,2.7337868733619586,8.688393714066923,CREB1;NDUFAF7;PRKG2;ACSL4;ARID1B,KEGG_2021_Human
Hepatitis B,4/162,0.0437471999215219,0.3479957215389508,0,0,3.1333492556325133,9.805276525488964,DDB1;MAP2K4;MAP2K1;CREB1,KEGG_2021_Human
Circadian entrainment,3/97,0.0449543364654625,0.3479957215389508,0,0,3.938098404255319,12.216406760060694,CREB1;PRKG2;CALM2,KEGG_2021_Human
Phosphatidylinositol signaling system,3/97,0.0449543364654625,0.3479957215389508,0,0,3.938098404255319,12.216406760060694,IPMK;PLCG1;CALM2,KEGG_2021_Human
Fatty acid degradation,2/43,0.0479477598009682,0.3479957215389508,0,0,5.997879109225875,18.21941667990599,ADH1B;ACSL4,KEGG_2021_Human
cGMP-PKG signaling pathway,4/167,0.0479695720100887,0.3479957215389508,0,0,3.036462553536289,9.222308800729737,MAP2K1;CREB1;PRKG2;CALM2,KEGG_2021_Human
Progesterone-mediated oocyte maturation,3/100,0.0484525934448118,0.3479957215389508,0,0,3.815721649484536,11.550835868914136,MAP2K1;CCNB1;HSP90AA1,KEGG_2021_Human
Melanogenesis,3/101,0.0496475835582227,0.3479957215389508,0,0,3.776594387755102,11.340378622385307,MAP2K1;CREB1;CALM2,KEGG_2021_Human
Vasopressin-regulated water reabsorption,2/44,0.0499686164261057,0.3479957215389508,0,0,5.85477669328601,17.54301952465873,CREB1;AQP3,KEGG_2021_Human
Th17 cell differentiation,3/107,0.0571161001821706,0.3765416857627764,0,0,3.5576322115384613,10.184324289966058,HSP90AA1;PLCG1;IL6ST,KEGG_2021_Human
Axon guidance,4/182,0.0619409059587431,0.3765416857627764,0,0,2.7784608861564557,7.728495889475496,DPYSL2;PLCG1;EPHA1;EFNA5,KEGG_2021_Human
Riboflavin metabolism,1/8,0.0633806923473012,0.3765416857627764,0,0,17.486772486772487,48.23894065290774,ACP1,KEGG_2021_Human
Sulfur relay system,1/8,0.0633806923473012,0.3765416857627764,0,0,17.486772486772487,48.23894065290774,MOCS2,KEGG_2021_Human
TNF signaling pathway,3/112,0.0637224391290852,0.3765416857627764,0,0,3.3935779816513763,9.343261733930849,MAP2K4;MAP2K1;CREB1,KEGG_2021_Human
Alcoholism,4/186,0.0659930134756885,0.3784893419929194,0,0,2.716842905522151,7.384939770835081,MAP2K1;CREB1;HAT1;CALM2,KEGG_2021_Human
Neutrophil extracellular trap formation,4/189,0.0691208824651966,0.3803493261426165,0,0,2.6723780384157743,7.140322571422121,MAP2K1;HAT1;PLCG1;CLCN3,KEGG_2021_Human
PI3K-Akt signaling pathway,6/354,0.0702183371340215,0.3803493261426165,0,0,2.1402372062376456,5.6847820435051,MAP2K1;HSP90AA1;CREB1;DDIT4;ITGB8;EFNA5,KEGG_2021_Human
Neurotrophin signaling pathway,3/119,0.0735345773532447,0.3875470968616953,0,0,3.1876616379310345,8.319795418893486,MAP2K1;PLCG1;CALM2,KEGG_2021_Human
VEGF signaling pathway,2/59,0.0835852797093941,0.421554299632228,0,0,4.31077694235589,10.698864936375143,MAP2K1;PLCG1,KEGG_2021_Human
Long-term depression,2/60,0.086020904286359,0.421554299632228,0,0,4.23623902334547,10.392193046010252,MAP2K1;PRKG2,KEGG_2021_Human
