Term,Asymptomatic,Symptomatic
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process,,0.0042363336011083
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C,,0.0487315401997886
Activation Of Protein Kinase Activity,,0.0053679384476379
Adherens Junction Assembly,,0.0487315401997886
Amyloid Fibril Formation,,0.0479457649394087
Aortic Valve Development,,0.00013899375675721385
Aortic Valve Morphogenesis,,0.0009416619615026364
Apoptotic Mitochondrial Changes,,0.0014967845630483
Apoptotic Process,,9.069866311499964e-12
Artery Development,,0.0036018435283214
Artery Morphogenesis,,9.553897408133212e-05
Atrial Septum Development,,0.0414679033961927
Atrioventricular Valve Development,,0.0414679033961927
Atrioventricular Valve Morphogenesis,,0.0041728991810637
Autophagosome Assembly,,0.0161067135015787
Autophagosome Organization,,0.021700006034851
B Cell Activation,,0.033262815288758
B Cell Differentiation,,0.0474931229313037
BMP Signaling Pathway,,0.0016879590619743
Blood Vessel Morphogenesis,,0.0010644446259283
Brain Development,,0.0096889968002396
Branching Morphogenesis Of An Epithelial Tube,,0.0204171438978964
Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication,,0.0487315401997886
CRD-mediated mRNA Stabilization,,0.00027540423275022364
Canonical Wnt Signaling Pathway,,0.0012547444578247
Cardiac Epithelial To Mesenchymal Transition,,0.000924370383827785
Cardiac Left Ventricle Morphogenesis,,0.0097639500262025
Cardiac Right Ventricle Morphogenesis,,0.0065875086679789
Cardiac Ventricle Morphogenesis,,6.267491810981471e-05
Cardioblast Differentiation,,0.0334124524087587
Cell Cycle G1/S Phase Transition,,2.8815007105156612e-08
Cell Cycle G2/M Phase Transition,,0.0018903990981812
Cell Surface Receptor Signaling Pathway Involved In Heart Development,,0.0063404591892283
Cellular Component Assembly,,0.0067549111185018
Cellular Response To Acid Chemical,,0.0029379056502172
Cellular Response To Amino Acid Stimulus,,0.0163537316643527
Cellular Response To BMP Stimulus,,0.0036834922813806
Cellular Response To Cadmium Ion,,0.0097639500262025
Cellular Response To Corticosteroid Stimulus,,0.0192249123953496
Cellular Response To Cytokine Stimulus,,0.0012316441730753
Cellular Response To Decreased Oxygen Levels,,2.377798726040374e-05
Cellular Response To Epidermal Growth Factor Stimulus,,0.0097639500262025
Cellular Response To Fibroblast Growth Factor Stimulus,,0.0223063575848091
Cellular Response To Glucocorticoid Stimulus,,0.0330209050717428
Cellular Response To Glucose Starvation,,0.0204171438978964
Cellular Response To Glucose Stimulus,,0.0359961664414958
Cellular Response To Growth Factor Stimulus,,7.769765996961863e-10
Cellular Response To Hexose Stimulus,,0.0060686161742471
Cellular Response To Hydrogen Peroxide,,0.0359961664414958
Cellular Response To Hypoxia,,6.267491810981471e-05
Cellular Response To Insulin Stimulus,,1.822164454340488e-06
Cellular Response To Interleukin-6,,0.0036018435283214
Cellular Response To Ionizing Radiation,,0.0336652455313476
Cellular Response To Lectin,,0.0155418404927391
Cellular Response To Leucine Starvation,,0.0312299018027511
Cellular Response To Light Stimulus,,0.0030920928233579
Cellular Response To Lipid,,0.0020940049920528
Cellular Response To Lipopolysaccharide,,9.815151023034803e-06
Cellular Response To Mechanical Stimulus,,2.2897615846202266e-05
Cellular Response To Metal Ion,,0.0331123310539662
Cellular Response To Misfolded Protein,,0.0155418404927391
Cellular Response To Molecule Of Bacterial Origin,,0.00038250391899174346
Cellular Response To Nutrient Levels,,0.0330209050717428
Cellular Response To Organic Cyclic Compound,,0.0023315458713306
Cellular Response To Organonitrogen Compound,,0.0088735999080566
Cellular Response To Osmotic Stress,,0.0349204496170141
Cellular Response To Oxidative Stress,,0.0018903990981812
Cellular Response To Oxygen-Containing Compound,,4.155483675934144e-06
Cellular Response To Peptide,,0.0255355180260355
Cellular Response To Peptide Hormone Stimulus,,0.0005339404586171049
Cellular Response To Reactive Oxygen Species,,7.703724847182257e-05
Cellular Response To Starvation,,0.0025254001076287
Cellular Response To Transforming Growth Factor Beta Stimulus,,9.449460656843668e-07
Cellular Response To Tumor Necrosis Factor,,0.0024144372952013
Cellular Response To UV,,0.0018179833050365
Cellular Response To Vascular Endothelial Growth Factor Stimulus,,0.0359961664414958
Cellular Response To Virus,,0.0144186290327063
Central Nervous System Development,,0.035454116814631
Chaperone Cofactor-Dependent Protein Refolding,,0.0299469102592266
Chromatin Organization,,2.3144502719455012e-08
Chromatin Remodeling,,2.507019818127321e-07
Circulatory System Development,,0.000528470504892248
Clathrin Coat Assembly,,0.0018903990981812
Clathrin-Dependent Endocytosis,,0.0299469102592266
Contact Inhibition,,0.0487315401997886
Coronary Vasculature Morphogenesis,,0.0028991297059992
Cytokine-Mediated Signaling Pathway,,0.0215446517124775
Cytoplasmic Sequestering Of NF-kappaB,,0.0028991297059992
Cytoplasmic Sequestering Of Transcription Factor,,0.0018903990981812
Cytoplasmic Translation,,2.8815007105156612e-08
Cytoskeleton-Dependent Cytokinesis,,0.0053679384476379
Cytosolic Transport,,0.00026743849740616107
DNA Damage Response,,9.78973281946609e-10
"DNA Damage Response, Signal Transduction By P53 Class Mediator",,0.0024222568830357
"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest",,0.0330209050717428
DNA Metabolic Process,,0.0004651006238101654
DNA Repair,,0.0028991297059992
DNA Replication,,0.0389274023963026
DNA-templated Transcription,,0.0100764640481662
DNA-templated Transcription Initiation,,0.0074402158465225
Digestive Tract Development,,0.0123267318161352
ERAD Pathway,,0.0479457649394087
ERBB Signaling Pathway,,0.001283033731966
ERBB2-EGFR Signaling Pathway,,0.0487315401997886
ERK1 And ERK2 Cascade,,0.0156149109522019
Embryonic Digestive Tract Development,,0.0155418404927391
Embryonic Organ Development,,0.0147373190713189
Endocardial Cushion Development,,0.0389274023963026
Endoderm Development,,0.0139342751733543
Endoderm Formation,,0.0422294389182818
Endosomal Transport,,0.0209534468840568
Ephrin Receptor Signaling Pathway,,0.0095732958558697
Epiboly Involved In Wound Healing,,0.0192249123953496
Epidermal Growth Factor Receptor Signaling Pathway,,0.0005532237832211559
Epithelial To Mesenchymal Transition,,3.3493110096707005e-06
Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation,,0.0334124524087587
Epithelial Tube Morphogenesis,,0.0315351841167088
Erythrocyte Differentiation,,0.003887748650197
Establishment Of Protein Localization To Organelle,,9.468517896028431e-05
Establishment Of Protein Localization To Plasma Membrane,,0.0104370480729513
Extrinsic Apoptotic Signaling Pathway,,1.264447332279003e-06
Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand,,0.0013440192522516
Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors,,0.0060870191651721
Eye Morphogenesis,,0.0155418404927391
Facultative Heterochromatin Formation,,0.0330209050717428
Fat Cell Differentiation,,0.00023033742072681705
Fc-epsilon Receptor Signaling Pathway,,0.0321514922139701
G1/S Transition Of Mitotic Cell Cycle,,1.5284058163874487e-08
G2/M Transition Of Mitotic Cell Cycle,,0.0037772989125066
Gene Expression,,4.032287197237341e-05
Generation Of Neurons,,0.0069675728044621
Glial Cell Development,,0.0389274023963026
Glial Cell Differentiation,,0.0359961664414958
Glucose Homeostasis,,0.0212182803917086
Golgi To Endosome Transport,,0.004485414814757
Golgi To Plasma Membrane Protein Transport,,0.0121545117923675
Golgi To Plasma Membrane Transport,,0.040602306191492
Golgi To Vacuole Transport,,0.0330209050717428
Growth Hormone Receptor Signaling Pathway,,0.0089914635925473
Growth Hormone Receptor Signaling Pathway Via JAK-STAT,,0.0215446517124775
Heart Development,,0.0005209947946963931
Heart Morphogenesis,,0.0359961664414958
Heart Trabecula Morphogenesis,,0.0414679033961927
Hemopoiesis,,9.303685372875778e-06
Hepaticobiliary System Development,,0.0389274023963026
Hepatocyte Growth Factor Receptor Signaling Pathway,,0.0121237810026006
Heterochromatin Formation,,0.00020037100434916615
Heterochromatin Organization,,2.3112217191707133e-05
Histone Deacetylation,,0.0024222568830357
Histone Deubiquitination,,0.0138451385276479
Histone Modification,,0.0222400239190776
I-kappaB kinase/NF-kappaB Signaling,,0.0128992129446355
Import Into Nucleus,,0.0002845418866247262
Inflammatory Response,,0.0061062258455221
Inflammatory Response To Wounding,,0.0056498973150256
Insulin Receptor Signaling Pathway,,6.810638729122795e-05
Integrin-Mediated Signaling Pathway,,0.0331123310539662
Interleukin-6-Mediated Signaling Pathway,,0.000254410902899441
Internal Protein Amino Acid Acetylation,,0.0334124524087587
Intracellular Estrogen Receptor Signaling Pathway,,0.0089914635925473
Intracellular Glucose Homeostasis,,7.245630062877902e-07
Intracellular Protein Transport,,2.254146245326936e-08
Intracellular Steroid Hormone Receptor Signaling Pathway,,0.0095732958558697
Intrinsic Apoptotic Signaling Pathway,,1.405505735237832e-08
Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator,,0.0018903990981812
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage,,1.401853885226002e-06
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator,,0.0041728991810637
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress,,0.021700006034851
Lipopolysaccharide-Mediated Signaling Pathway,,0.0055756812656638
Liver Development,,0.0163537316643527
Lysosomal Transport,,0.0311964459599276
MAPK Cascade,,0.00033410666149348545
Macroautophagy,,0.0283682405411713
Macromolecule Biosynthetic Process,,0.0017304718854307
Macrophage Differentiation,,0.0074721656185094
Maintenance Of Blood-Brain Barrier,,0.001389185247662
Maintenance Of DNA Repeat Elements,,0.0487315401997886
Membrane Organization,,0.0083513653452525
Mesenchymal Cell Differentiation,,1.6960219807837556e-06
Mesenchyme Development,,0.0330209050717428
Metaphase Plate Congression,,0.012985472006257
Microtubule Cytoskeleton Organization Involved In Mitosis,,0.001181030616584
Mitochondrial Fragmentation Involved In Apoptotic Process,,0.0055756812656638
Mitochondrial Fusion,,0.0414679033961927
Mitochondrion Organization,,0.0055756812656638
Mitotic Cell Cycle Phase Transition,,1.2793058103808411e-09
Mitotic Cytokinesis,,0.0003851634561677308
Mitotic DNA Damage Checkpoint Signaling,,0.0018658876001238
Mitotic G1 DNA Damage Checkpoint Signaling,,0.0078114670389654
Mitotic Metaphase Plate Congression,,0.0045344188157002
Mitotic Sister Chromatid Segregation,,0.0041728991810637
Mitotic Spindle Organization,,0.0040562907256041
Modification-Dependent Protein Catabolic Process,,3.4663616360936755e-08
Modulation By Host Of Symbiont Process,,0.0028991297059992
Monoubiquitinated Histone Deubiquitination,,0.0299469102592266
Monoubiquitinated Histone H2A Deubiquitination,,0.0299469102592266
Monoubiquitinated Protein Deubiquitination,,0.003887748650197
Myelin Maintenance,,0.0487315401997886
Myeloid Cell Differentiation,,0.0055756812656638
Myeloid Leukocyte Differentiation,,0.0321514922139701
Myoblast Differentiation,,0.0013440192522516
NIK/NF-kappaB Signaling,,0.0095732958558697
NLS-bearing Protein Import Into Nucleus,,0.0089914635925473
Negative Regulation By Host Of Viral Transcription,,0.0312299018027511
Negative Regulation Of Amide Metabolic Process,,1.1115158897952297e-07
Negative Regulation Of Angiogenesis,,0.0095874081443082
Negative Regulation Of Anoikis,,0.0013440192522516
Negative Regulation Of Apoptotic Process,,1.3344801304143456e-21
Negative Regulation Of Apoptotic Signaling Pathway,,0.00015800605121566683
Negative Regulation Of Autophagy,,0.00018750221075144864
Negative Regulation Of Binding,,0.0191863974991393
Negative Regulation Of Blood Vessel Endothelial Cell Migration,,0.0115197793067704
Negative Regulation Of Blood Vessel Morphogenesis,,0.0147373190713189
Negative Regulation Of Canonical Wnt Signaling Pathway,,0.0107350633931282
Negative Regulation Of Carbohydrate Metabolic Process,,0.0018755282864846
Negative Regulation Of Cardiac Muscle Cell Differentiation,,0.0487315401997886
Negative Regulation Of Cardiac Muscle Hypertrophy,,0.0011578747327886
Negative Regulation Of Cell Adhesion,,0.0350163334168077
Negative Regulation Of Cell Adhesion Mediated By Integrin,,0.0487315401997886
Negative Regulation Of Cell Cycle,,9.468517896028431e-05
Negative Regulation Of Cell Cycle G1/S Phase Transition,,0.0422294389182818
Negative Regulation Of Cell Cycle Phase Transition,,0.0312299018027511
Negative Regulation Of Cell Development,,0.0026675553392066
Negative Regulation Of Cell Differentiation,,2.779314403107724e-06
Negative Regulation Of Cell Growth,,8.249903013933784e-05
Negative Regulation Of Cell Junction Assembly,,0.0047513559349004
Negative Regulation Of Cell Migration,,0.030184730614655
Negative Regulation Of Cell Motility,,0.0094011172438845
Negative Regulation Of Cell Population Proliferation,,2.6292307258230834e-09
Negative Regulation Of Cell-Cell Adhesion,,0.0018903990981812
Negative Regulation Of Cell-Matrix Adhesion,,0.021700006034851
Negative Regulation Of Cell-Substrate Adhesion,,0.0123267318161352
Negative Regulation Of Cellular Biosynthetic Process,,1.6549084079662742e-08
